subset,category,test_fold,model,mse,mae
idastar.symmullt.transmul,all,1,featureless,2388055.586686609,1399.728057084425
idastar.symmullt.transmul,all,1,linear,1797388.5214926351,1154.9991918314618
idastar.symmullt.transmul,all,1,linear_BasExp,1863410.406860383,1119.3417348430457
idastar.symmullt.transmul,same,1,featureless,2394121.2191249747,1354.5118209788016
idastar.symmullt.transmul,same,1,linear,1503933.8656610323,937.1442475982826
idastar.symmullt.transmul,same,1,linear_BasExp,1680441.50764676,932.9576495175735
idastar.symmullt.transmul,other,1,featureless,2391711.9532584357,1412.2922034358476
idastar.symmullt.transmul,other,1,linear,2001432.797465407,1230.8665852061888
idastar.symmullt.transmul,other,1,linear_BasExp,2058615.2061766917,1189.7763542746052
idastar.symmullt.transmul,all,2,featureless,2338038.757158392,1368.7700985618153
idastar.symmullt.transmul,all,2,linear,1878943.3365332973,1184.4808698411323
idastar.symmullt.transmul,all,2,linear_BasExp,1599455.2641756018,1027.35781329011
idastar.symmullt.transmul,same,2,featureless,2340839.4941775715,1323.8513255949447
idastar.symmullt.transmul,same,2,linear,1525443.13381935,946.8934680805323
idastar.symmullt.transmul,same,2,linear_BasExp,1461429.3317661881,889.0426219672777
idastar.symmullt.transmul,other,2,featureless,2342379.1684813835,1381.1113826811306
idastar.symmullt.transmul,other,2,linear,2103598.8130826955,1263.3859188596707
idastar.symmullt.transmul,other,2,linear_BasExp,1817953.315654146,1105.3118919275362
idastar.symmullt.transmul,all,3,featureless,2113782.089961424,1304.9380128521502
idastar.symmullt.transmul,all,3,linear,1727771.1510283893,1109.356881303764
idastar.symmullt.transmul,all,3,linear_BasExp,1708192.8292287407,1076.7492635808394
idastar.symmullt.transmul,same,3,featureless,2101408.418671115,1264.3438772286163
idastar.symmullt.transmul,same,3,linear,1589726.0271977307,982.8055423707569
idastar.symmullt.transmul,same,3,linear_BasExp,1891346.451505233,1027.3090526218753
idastar.symmullt.transmul,other,3,featureless,2121265.5124666095,1316.5266407457607
idastar.symmullt.transmul,other,3,linear,1914595.2202432044,1170.1208276132697
idastar.symmullt.transmul,other,3,linear_BasExp,1881390.2930671596,1135.5759525574422
idastar.symmullt.transmul,all,4,featureless,1971768.807609886,1247.787932496493
idastar.symmullt.transmul,all,4,linear,1631152.6991117385,1110.767099867706
idastar.symmullt.transmul,all,4,linear_BasExp,1501046.316385719,1016.7205112940024
idastar.symmullt.transmul,same,4,featureless,1942690.299371222,1207.7768844278944
idastar.symmullt.transmul,same,4,linear,1422559.0209719595,923.1904319932852
idastar.symmullt.transmul,same,4,linear_BasExp,1192660.9350510538,819.7808373979011
idastar.symmullt.transmul,other,4,featureless,1982543.6549106103,1259.5460570585224
idastar.symmullt.transmul,other,4,linear,1843311.2272586566,1181.0139906283785
idastar.symmullt.transmul,other,4,linear_BasExp,1720497.2691282239,1094.3540022350383
idastar.symmullt.transmul,all,5,featureless,2161852.4649723247,1334.47125132777
idastar.symmullt.transmul,all,5,linear,2002808.3476531806,1218.5406577205677
idastar.symmullt.transmul,all,5,linear_BasExp,1846835.431201753,1116.9606863874749
idastar.symmullt.transmul,same,5,featureless,2140236.821714736,1292.4018326337173
idastar.symmullt.transmul,same,5,linear,1647829.490621812,986.5225870928824
idastar.symmullt.transmul,same,5,linear_BasExp,1534910.807475236,927.6740627839889
idastar.symmullt.transmul,other,5,featureless,2171190.7587586725,1345.700406728713
idastar.symmullt.transmul,other,5,linear,2215938.965129007,1288.4929386617603
idastar.symmullt.transmul,other,5,linear_BasExp,2049303.6527495238,1183.733696883508
astar.symmulgt.transmul,all,1,featureless,2539219.220073084,1469.7776248091532
astar.symmulgt.transmul,all,1,linear,2188720.102756922,1279.5826975156392
astar.symmulgt.transmul,all,1,linear_BasExp,2173012.4163843933,1201.9476166027591
astar.symmulgt.transmul,same,1,featureless,2596574.7070259475,1537.4606323667817
astar.symmulgt.transmul,same,1,linear,1838260.8962898941,1202.5632315495725
astar.symmulgt.transmul,same,1,linear_BasExp,1875819.0153060772,1155.0409762492618
astar.symmulgt.transmul,other,1,featureless,2534636.864581108,1451.8853448259401
astar.symmulgt.transmul,other,1,linear,2380697.913864518,1309.0898374205744
astar.symmulgt.transmul,other,1,linear_BasExp,2391413.909181616,1245.3003443760904
astar.symmulgt.transmul,all,2,featureless,2673013.131464963,1492.5141753058265
astar.symmulgt.transmul,all,2,linear,2238859.322576872,1280.891485058327
astar.symmulgt.transmul,all,2,linear_BasExp,2334664.868255259,1229.4450479296138
astar.symmulgt.transmul,same,2,featureless,2689475.939913381,1549.5823184242367
astar.symmulgt.transmul,same,2,linear,2028244.1383897145,1217.1436510609908
astar.symmulgt.transmul,same,2,linear_BasExp,1981168.414779353,1181.23473266892
astar.symmulgt.transmul,other,2,featureless,2677174.3438400975,1477.3176615469074
astar.symmulgt.transmul,other,2,linear,2409941.5214160625,1302.282914443509
astar.symmulgt.transmul,other,2,linear_BasExp,2485729.756533501,1246.328291413665
astar.symmulgt.transmul,all,3,featureless,2976616.9626369686,1591.5675967334714
astar.symmulgt.transmul,all,3,linear,2212556.0698600896,1302.8936730100513
astar.symmulgt.transmul,all,3,linear_BasExp,2080936.2875036905,1206.5710233771954
astar.symmulgt.transmul,same,3,featureless,2929075.1135848705,1616.6895026179188
astar.symmulgt.transmul,same,3,linear,2009370.7914605844,1205.7578194269536
astar.symmulgt.transmul,same,3,linear_BasExp,1869604.134238848,1117.4624394207983
astar.symmulgt.transmul,other,3,featureless,2993754.7454151143,1584.8620658775337
astar.symmulgt.transmul,other,3,linear,2384311.4350227327,1331.4773199973363
astar.symmulgt.transmul,other,3,linear_BasExp,2272187.3888131618,1250.6697798654686
astar.symmulgt.transmul,all,4,featureless,3031749.709458349,1585.378239017664
astar.symmulgt.transmul,all,4,linear,2484807.4895736137,1368.6264858220363
astar.symmulgt.transmul,all,4,linear_BasExp,2396907.016075772,1283.601232273728
astar.symmulgt.transmul,same,4,featureless,2972900.0822708006,1603.4153772286168
astar.symmulgt.transmul,same,4,linear,2600737.57377791,1320.3419229041851
astar.symmulgt.transmul,same,4,linear_BasExp,2712978.2725203615,1336.559887640879
astar.symmulgt.transmul,other,4,featureless,3050817.8097329144,1580.5637720189152
astar.symmulgt.transmul,other,4,linear,2610131.354961453,1384.3363616080314
astar.symmulgt.transmul,other,4,linear_BasExp,2547104.7911527785,1307.7760129156193
astar.symmulgt.transmul,all,5,featureless,2833473.1318986025,1545.313842279438
astar.symmulgt.transmul,all,5,linear,2471432.1627385267,1351.4985253973387
astar.symmulgt.transmul,all,5,linear_BasExp,2377646.7989178956,1267.5140395829337
astar.symmulgt.transmul,same,5,featureless,2816995.343943524,1589.320568178741
astar.symmulgt.transmul,same,5,linear,2464220.400978917,1342.8530671811425
astar.symmulgt.transmul,same,5,linear_BasExp,2420764.3296578303,1306.891851596414
astar.symmulgt.transmul,other,5,featureless,2844501.4534653756,1533.5675814764613
astar.symmulgt.transmul,other,5,linear,2592238.697710393,1358.8605478886534
astar.symmulgt.transmul,other,5,linear_BasExp,2495587.775740952,1283.2930227681097
idastar.symmulgt.transmul,all,1,featureless,2129044.190384962,1319.0703772548206
idastar.symmulgt.transmul,all,1,linear,1593785.167094564,1088.2115088480298
idastar.symmulgt.transmul,all,1,linear_BasExp,1499981.7164355859,1010.8030121560595
idastar.symmulgt.transmul,same,1,featureless,2078791.701272989,1200.0471925110921
idastar.symmulgt.transmul,same,1,linear,1443715.9803307215,893.5751187387062
idastar.symmulgt.transmul,same,1,linear_BasExp,1337693.4367107875,811.9989896498749
idastar.symmulgt.transmul,other,1,featureless,2166665.6974056214,1352.7477878164045
idastar.symmulgt.transmul,other,1,linear,1725179.3596188722,1151.8243758586657
idastar.symmulgt.transmul,other,1,linear_BasExp,1680958.1691653132,1084.966163857654
idastar.symmulgt.transmul,all,2,featureless,2164867.9598241863,1337.984380798447
idastar.symmulgt.transmul,all,2,linear,1642158.4678437836,1115.0469257131604
idastar.symmulgt.transmul,all,2,linear_BasExp,1516446.3868752266,1004.1455678374971
idastar.symmulgt.transmul,same,2,featureless,2124618.310396667,1211.118014699951
idastar.symmulgt.transmul,same,2,linear,1550435.3825949908,945.2169028895454
idastar.symmulgt.transmul,same,2,linear_BasExp,1398973.1781037487,850.1735394004969
