subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
memout,same,1,featureless,False,0,296,75,2.220446049250313e-16,2.220446049250313e-16
memout,same,1,linear,False,0,296,75,2.220446049250313e-16,2.220446049250313e-16
memout,same,1,linear_BasExp,False,0,296,75,2.220446049250313e-16,2.220446049250313e-16
memout,same,1,tree,False,0,296,75,2.886579864025407e-15,2.886579864025407e-15
memout,other,1,featureless,False,0,1737,75,1.8677763047501459,1.8677763047501459
memout,other,1,linear,False,0,1737,75,1.7331968914905669,1.7656845792685145
memout,other,1,linear_BasExp,False,0,1737,75,1.72176723447695,1.739689547898152
memout,other,1,tree,False,0,1737,75,1.732187050718695,1.7412466810973746
memout,all,1,featureless,False,0,2033,75,1.5958324846783096,1.5958324846783094
memout,all,1,linear,False,0,2033,75,1.3938850272697125,1.4048634547122916
memout,all,1,linear_BasExp,False,0,2033,75,1.3776488489289143,1.3550003144814715
memout,all,1,tree,False,0,2033,75,1.4015320072427608,1.4219001329201983
memout,same,2,featureless,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,2,linear,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,2,linear_BasExp,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,2,tree,False,0,297,74,2.8670096054005714e-15,2.886579864025407e-15
memout,other,2,featureless,False,0,1737,74,1.867776304750146,1.8677763047501459
memout,other,2,linear,False,0,1737,74,1.7154112054637065,1.7114137138771994
memout,other,2,linear_BasExp,False,0,1737,74,1.6825815666676078,1.6672661239045512
memout,other,2,tree,False,0,1737,74,1.7214631450101712,1.7412466810973746
memout,all,2,featureless,False,0,2034,74,1.5950479062689298,1.5950479062689298
memout,all,2,linear,False,0,2034,74,1.3725112295572124,1.3332568135407725
memout,all,2,linear_BasExp,False,0,2034,74,1.3234798405827513,1.3131771064028221
memout,all,2,tree,False,0,2034,74,1.347957160239847,1.423481779341689
memout,same,3,featureless,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,3,linear,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,3,linear_BasExp,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,3,tree,False,0,297,74,3.1086244689504383e-15,3.1086244689504383e-15
memout,other,3,featureless,False,0,1737,74,1.867776304750146,1.8677763047501459
memout,other,3,linear,False,0,1737,74,1.7565463527002099,1.7888841917486384
memout,other,3,linear_BasExp,False,0,1737,74,1.7113953636019392,1.7358507584165057
memout,other,3,tree,False,0,1737,74,1.7835417178504303,1.7412466810973746
memout,all,3,featureless,False,0,2034,74,1.5950479062689298,1.5950479062689298
memout,all,3,linear,False,0,2034,74,1.4455678838492076,1.487234925226796
memout,all,3,linear_BasExp,False,0,2034,74,1.3917034361706602,1.3797261116472397
memout,all,3,tree,False,0,2034,74,1.4410015730848196,1.4234817793416892
memout,same,4,featureless,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,4,linear,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,4,linear_BasExp,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,4,tree,False,0,297,74,3.1086244689504383e-15,3.1086244689504383e-15
memout,other,4,featureless,False,0,1737,74,1.867776304750146,1.8677763047501459
memout,other,4,linear,False,0,1737,74,1.7533116342261077,1.7948115830308704
memout,other,4,linear_BasExp,False,0,1737,74,1.7241011438365457,1.7374390473053283
memout,other,4,tree,False,0,1737,74,1.7520737020718795,1.7412466810973743
memout,all,4,featureless,False,0,2034,74,1.5950479062689298,1.5950479062689298
memout,all,4,linear,False,0,2034,74,1.4290621068442664,1.4488799646142962
memout,all,4,linear_BasExp,False,0,2034,74,1.3952749973482352,1.3460152826660616
memout,all,4,tree,False,0,2034,74,1.4440101218137789,1.4219001329201983
memout,same,5,featureless,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,5,linear,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,5,linear_BasExp,False,0,297,74,2.220446049250313e-16,2.220446049250313e-16
memout,same,5,tree,False,0,297,74,3.1086244689504383e-15,3.1086244689504383e-15
memout,other,5,featureless,False,0,1737,74,1.867776304750146,1.8677763047501459
memout,other,5,linear,False,0,1737,74,1.7383058665536502,1.7394715610509046
memout,other,5,linear_BasExp,False,0,1737,74,1.689887706243868,1.6928203847747891
memout,other,5,tree,False,0,1737,74,1.7381099161534548,1.7412466810973743
memout,all,5,featureless,False,0,2034,74,1.5950479062689298,1.5950479062689298
memout,all,5,linear,False,0,2034,74,1.417969825598028,1.4126652794841879
memout,all,5,linear_BasExp,False,0,2034,74,1.361932274258555,1.3909507150693496
memout,all,5,tree,False,0,2034,74,1.363273695670161,1.4276160697208746
ok,same,1,featureless,False,0,1220,306,0.33292152231230643,0.15157574067247626
ok,same,1,linear,False,0,1220,306,0.3133124083524233,0.12223426921122632
ok,same,1,linear_BasExp,False,0,1220,306,0.30592288401332096,0.11379542071614962
ok,same,1,tree,False,0,1220,306,0.30075396492274603,0.04030203663652121
ok,other,1,featureless,False,0,582,306,2.1634791401678033,2.2730045941422183
ok,other,1,linear,False,0,582,306,2.1634791401678033,2.2730045941422183
ok,other,1,linear_BasExp,False,0,582,306,2.1634791401678033,2.2730045941422183
