subset,category,test_fold,model,mse,mae
0,all,1,featureless,0.7412721791333898,0.33333895010669307
0,all,1,linear,0.6783004075924908,0.28615634389104877
0,all,1,gam,0.6635815026799132,0.27839131000380357
0,same,1,featureless,0.740943498714959,0.3263711100278515
0,same,1,linear,0.6780830143779665,0.2826590178242996
0,same,1,gam,0.6633994699836179,0.275137610217717
0,other,1,featureless,0.7591384567071232,0.4237123543337492
0,other,1,linear,0.6845900036353908,0.33320628049281303
0,other,1,gam,0.6722234199509184,0.3211107391292809
0,all,2,featureless,0.8209821811349304,0.3386005266044524
0,all,2,linear,0.7517026688016578,0.29029357535629896
0,all,2,gam,0.7323093436985708,0.281608044524084
0,same,2,featureless,0.8208326729639613,0.331554258624124
0,same,2,linear,0.7515947905386895,0.28666123237316193
0,same,2,gam,0.7321978485384473,0.2782626476137694
0,other,2,featureless,0.8370603587372543,0.43040838454251124
0,other,2,linear,0.7572145034096255,0.33835182287985127
0,other,2,gam,0.741525869251532,0.3255773408630066
0,all,3,featureless,1.252761854963292,0.3522745826032638
0,all,3,linear,1.1601384481601351,0.3001088180867285
0,all,3,gam,1.1431178611377029,0.29116298570407284
0,same,3,featureless,1.2529433687520246,0.34501448459788375
0,same,3,linear,1.160535685089193,0.2963229625267824
0,same,3,gam,1.143529180679914,0.28754547363024435
0,other,3,featureless,1.265516715890953,0.4465512588297503
0,other,3,linear,1.1620144450419705,0.34947922660838876
0,other,3,gam,1.1487411514997232,0.3365372967047621
0,all,4,featureless,0.9946066995101237,0.3473432607118839
0,all,4,linear,0.9176963880893211,0.30318567421374293
0,all,4,gam,0.8996966084383312,0.2956546106813403
0,same,4,featureless,0.9946652293744707,0.34014547128911926
0,same,4,linear,0.9177327158470302,0.2994957597316212
0,same,4,gam,0.8995095217472013,0.2921588763669139
0,other,4,featureless,1.0085990383334749,0.44085404515259297
0,other,4,linear,0.9218820313993216,0.3521348716017393
0,other,4,gam,0.9084668843722279,0.3407325333715081
0,all,5,featureless,1.0077168275477644,0.3397958906021808
0,all,5,linear,0.942938570553549,0.29101814048579894
0,all,5,gam,0.9238328835156959,0.2820936105086393
0,same,5,featureless,1.0075482455776905,0.3327187358978701
0,same,5,linear,0.9429649467490937,0.2873764708877214
0,same,5,gam,0.9245783070268168,0.27879451505961605
0,other,5,featureless,1.0239857446090423,0.4315208484943782
0,other,5,linear,0.9472333733926823,0.33938789296752386
0,other,5,gam,0.9303934380763176,0.3255866160343404
1,all,1,featureless,0.8842375325087983,0.36010582955823117
1,all,1,linear,0.7945011126565654,0.3394357334199055
1,all,1,gam,0.7625307820042657,0.3303817967784688
1,same,1,featureless,0.8884952626450882,0.4452399761181026
1,same,1,linear,0.8161070571488338,0.384332663583101
1,same,1,gam,0.8135274405160958,0.38585784381080207
1,other,1,featureless,0.8844311513184844,0.3586111838485006
1,other,1,linear,0.7942718883059875,0.33878877247596234
1,other,1,gam,0.7618429336961728,0.32982456297718377
1,all,2,featureless,1.847537094377584,0.5231241030271725
1,all,2,linear,1.687095880752224,0.49002768423214976
1,all,2,gam,1.6320553934351323,0.47516729434994814
1,same,2,featureless,1.8200623461582057,0.5715274744038703
1,same,2,linear,1.6809188308462206,0.49976177838710895
1,same,2,gam,1.6624592513126908,0.4999847489089453
1,other,2,featureless,1.8481553521927543,0.5222615913528048
1,other,2,linear,1.6872771460610034,0.48988737056197434
1,other,2,gam,1.6322078069901749,0.4750059398225496
1,all,3,featureless,1.040580905901796,0.3969579560391983
1,all,3,linear,0.9822412636725883,0.37915024825621374
1,all,3,gam,0.9740740156438009,0.3759619226641187
1,same,3,featureless,1.0375234213548779,0.4796850559322672
1,same,3,linear,0.9814446801515985,0.40927181512178684
1,same,3,gam,1.0087214943138971,0.4188138993665718
1,other,3,featureless,1.0408785303680113,0.39551069316510773
1,other,3,linear,0.9822745538000313,0.3785115566210776
1,other,3,gam,0.9742948657741908,0.3753127745587841
1,all,4,featureless,1.653643956693394,0.40761996831400416
1,all,4,linear,1.5910854081439487,0.4117840458557855
1,all,4,gam,1.5994088505078123,0.41350234027735344
1,same,4,featureless,1.6476396369839938,0.48830747446803835
1,same,4,linear,1.6053832146902538,0.45494779614537034
1,same,4,gam,1.5972279890110774,0.4560712753086854
1,other,4,featureless,1.6539829710892608,0.40618305444492564
1,other,4,linear,1.590833216003544,0.41073809895018004
1,other,4,gam,1.600526051235682,0.41286961065943556
1,all,5,featureless,2.322102507133997,0.44531041931906884
1,all,5,linear,2.1130611379987414,0.4188902308190122
1,all,5,gam,2.152541323321895,0.4208111232379169
1,same,5,featureless,2.3082782452118344,0.5226058178332578
1,same,5,linear,2.110683081905145,0.4546436948706468
1,same,5,gam,2.2415716884688033,0.4662390913417804
1,other,5,featureless,2.3225492618759405,0.44394590912311743
1,other,5,linear,2.113217374069923,0.41822937441590946
1,other,5,gam,2.1528866288364146,0.420231333830351
2,all,1,featureless,1.9040387532088054,0.5192550848495459
2,all,1,linear,1.8115221569497024,0.4975654839975184
2,all,1,gam,1.650582883173941,0.46504671237725903
2,same,1,featureless,1.8716964325073036,0.5982994595975886
2,same,1,linear,1.8173531049416756,0.5324307373733208
2,same,1,gam,1.6317512512746757,0.49537876059113933
2,other,1,featureless,1.9049577582329498,0.5177413281629789
2,other,1,linear,1.8113383451977638,0.4969857246722207
2,other,1,gam,1.6525151561770026,0.46475230883129265
2,all,2,featureless,1.04558961048744,0.4318707737692089
2,all,2,linear,1.027483332886191,0.42224589040974664
2,all,2,gam,0.9174960718252746,0.40254494951024494
2,same,2,featureless,1.032359535643023,0.5249354761886588
2,same,2,linear,1.070199216452424,0.4791708429716006
2,same,2,gam,0.9306766472832803,0.45561595829282553
2,other,2,featureless,1.0462271648000139,0.43011109561445443
2,other,2,linear,1.02659748844688,0.42126272978099844
2,other,2,gam,0.9182176876935066,0.4018136478304722
2,all,3,featureless,1.9171919840335152,0.44391014673320284
2,all,3,linear,1.7602929620043855,0.428980955301585
2,all,3,gam,1.742378684415144,0.4231031283447038
2,same,3,featureless,1.8975960212140415,0.5324339761626464
2,same,3,linear,1.7705461696929128,0.48115873024147154
2,same,3,gam,1.755343291285072,0.4735463564658903
2,other,3,featureless,1.9179256281849524,0.442264212912204
2,other,3,linear,1.7598776374897467,0.4276714466423361
2,other,3,gam,1.74281714911552,0.42197790418462044
2,all,4,featureless,1.3570889788129357,0.4251661008460476
2,all,4,linear,1.156821500674258,0.39269033756227717
2,all,4,gam,1.1374913075157727,0.37717895524191924
2,same,4,featureless,1.3511544285938029,0.5315184678453717
2,same,4,linear,1.192990392430307,0.4609782095791755
2,same,4,gam,1.1491398717853505,0.43131800552347466
2,other,4,featureless,1.3576145866285139,0.4231137005730129
2,other,4,linear,1.1556241325302732,0.39086405288918863
2,other,4,gam,1.138319398651146,0.3759975546667001
2,all,5,featureless,1.0803254182068858,0.42958300667247334
2,all,5,linear,0.9125734677438619,0.4043473327985901
2,all,5,gam,0.8924192387450262,0.39448182007280486
2,same,5,featureless,1.0689473827944462,0.5293141269927368
2,same,5,linear,0.9191900995903992,0.45985792328823283
2,same,5,gam,0.9118328681720896,0.448561981806127
2,other,5,featureless,1.080934717643062,0.4276854380181498
2,other,5,linear,0.9124728339284814,0.4031325653611837
2,other,5,gam,0.8924539496628103,0.3933628765483916
3,all,1,featureless,2.7422744731552005,0.5248728290275666
3,all,1,linear,2.596054787974302,0.49085966944800796
3,all,1,gam,2.5571179919363503,0.47236871541021663
3,same,1,featureless,2.709934083131582,0.6279784851276262
3,same,1,linear,2.568197302991661,0.5838730830487385
3,same,1,gam,2.5389811066647034,0.5733083689066283
3,other,1,featureless,2.7426781518005283,0.5240811224496005
3,other,1,linear,2.5966083733523555,0.4902291965622885
3,other,1,gam,2.557438065326339,0.47162320936617597
3,all,2,featureless,1.6509997067589142,0.41445217787357647
3,all,2,linear,1.5766961507432626,0.37408737756875154
3,all,2,gam,1.578003848616019,0.36407355911342565
3,same,2,featureless,1.6476248741984363,0.5320322365737428
3,same,2,linear,1.6265302293930288,0.48897272928649516
3,same,2,gam,1.7255001325492094,0.4984022132399017
3,other,2,featureless,1.651227971458311,0.4135397499834306
3,other,2,linear,1.5767209656836843,0.37351164112785
3,other,2,gam,1.577670349187995,0.36358944240406355
3,all,3,featureless,2.5607812483948633,0.5007832339175994
3,all,3,linear,2.5480909190814685,0.4840594258492299
3,all,3,gam,2.548818714228836,0.4788017373961822
3,same,3,featureless,2.5280437566083953,0.591309014108415
3,same,3,linear,2.5284622972089106,0.5477082305012018
3,same,3,gam,2.4765385391241597,0.5347624300630932
3,other,3,featureless,2.5611879071745993,0.5001013310499431
3,other,3,linear,2.548515505381951,0.48363200206975465
3,other,3,gam,2.5496898127795715,0.47827019854747355
3,all,4,featureless,1.6132982871526385,0.4492217549483307
3,all,4,linear,1.4811162084118228,0.4273769485463946
3,all,4,gam,1.5169809817337863,0.41629481703362914
3,same,4,featureless,1.600310440257955,0.563631817227568
3,same,4,linear,1.476839949514028,0.5252685705178466
3,same,4,gam,1.7208896583715072,0.5531140570381176
