subset,category,test_fold,model,mse,mae
0,all,1,featureless,0.7791122026377123,0.3381466982348259
0,all,1,linear,0.714118793244331,0.2921712609041
0,all,1,gam,0.6946689215328413,0.2836932994001613
0,same,1,featureless,0.7790635709695545,0.3367448670489633
0,same,1,linear,0.7140040800275306,0.29170473894466986
0,same,1,gam,0.694582737522322,0.28315330236309105
0,other,1,featureless,0.8349384203435328,0.5189075951969446
0,other,1,linear,0.7448796943239812,0.36362840805800745
0,other,1,gam,0.857853755400689,0.376919427659078
0,all,2,featureless,0.8631736920731863,0.3441931354464561
0,all,2,linear,0.7927517584822155,0.29689008777423653
0,all,2,gam,0.7699115625237511,0.2878006265399792
0,same,2,featureless,0.8631686109814479,0.34278820989213815
0,same,2,linear,0.7926594911064972,0.2964081461515456
0,same,2,gam,0.7698573226223945,0.2873155514520188
0,other,2,featureless,0.9147344914442175,0.5262218824316577
0,other,2,linear,0.8231054818218473,0.36976258124620354
0,other,2,gam,1.0037244146063895,0.38511800720140454
0,all,3,featureless,1.2789900151704465,0.3554982253487573
0,all,3,linear,1.1882840483483323,0.3059153588074231
0,all,3,gam,1.1719651644088513,0.297183033293619
0,same,3,featureless,1.2790413239987213,0.3540725768423251
0,same,3,linear,1.1885331325751796,0.30545916374091403
0,same,3,gam,1.1719487924462693,0.29653442859263873
0,other,3,featureless,1.3250110991659074,0.5395838364160985
0,other,3,linear,1.197072801808611,0.3766485306403568
0,other,3,gam,1.3225891244175827,0.3911792568770472
0,all,4,featureless,1.0183227699486745,0.34935224143682464
0,all,4,linear,0.9399297021188192,0.30732917515867697
0,all,4,gam,0.9228354010832942,0.29986401209743835
0,same,4,featureless,1.018336345690827,0.3479281621013522
0,same,4,linear,0.9399683624811231,0.30683753356185184
0,same,4,gam,0.9226905594660737,0.2992521746683415
0,other,4,featureless,1.068052759997212,0.5330639856607063
0,other,4,linear,0.9602708397216851,0.37957605324829224
0,other,4,gam,1.2002425958706369,0.39919408505763726
0,all,5,featureless,1.0193388704645414,0.3425132435739387
0,all,5,linear,0.9515068392744074,0.2949759898818891
0,all,5,gam,0.9334941190859873,0.28610440199404924
0,same,5,featureless,1.019312302598593,0.34110090310101815
0,same,5,linear,0.9514312005989902,0.29451049094405024
0,same,5,gam,0.9339888158357198,0.28553384907148055
0,other,5,featureless,1.0730056423942094,0.5245080590936632
0,other,5,linear,0.9778448415727855,0.36567762741009674
0,other,5,gam,1.107868978293566,0.38057210484526177
1,all,1,featureless,2.0522248872538,0.5061723046247216
1,all,1,linear,1.968253069748995,0.5412126260322301
1,all,1,gam,1.982310368864682,0.5518620760293774
1,same,1,featureless,2.004826876292569,0.662513492330877
1,same,1,linear,2.009626784072945,0.6261676932549368
1,same,1,gam,1.9960750684470903,0.6410427122869209
