subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
F,same,1,featureless,False,0,18262,4566,1.073697447550845,0.7176403763604265
F,same,1,linear,False,0,18262,4566,0.9329371535145434,0.5722916802175235
F,same,1,linear_BasExp,False,0,18262,4566,0.9002652375520963,0.532608889617609
F,same,1,tree,False,0,18262,4566,0.8431946383005993,0.4690968186435074
F,other,1,featureless,False,0,77172,4566,1.0947346485902314,0.664647933517856
F,other,1,linear,False,0,77172,4566,0.9579634687078393,0.5220337752771258
F,other,1,linear_BasExp,False,0,77172,4566,0.9136321006180005,0.49788596508680905
F,other,1,tree,False,0,77172,4566,0.8428056189519725,0.45547174215634206
F,all,1,featureless,False,0,95434,4566,1.0881928699470822,0.6766064481586468
F,all,1,linear,False,0,95434,4566,0.9494942895236991,0.5312085954301857
F,all,1,linear_BasExp,False,0,95434,4566,0.9087054282119359,0.5030101017529667
F,all,1,tree,False,0,95434,4566,0.8400744266022748,0.4548127885565208
F,same,2,featureless,False,0,18262,4566,1.0732271261658435,0.7105431943645916
F,same,2,linear,False,0,18262,4566,0.9560246913309645,0.5582540513754366
F,same,2,linear_BasExp,False,0,18262,4566,0.9165492657851347,0.524395325947329
F,same,2,tree,False,0,18262,4566,0.8431623743380693,0.4733710021403667
F,other,2,featureless,False,0,77172,4566,1.093590371986955,0.6514741684210948
F,other,2,linear,False,0,77172,4566,0.9799199347671584,0.5111984016035018
F,other,2,linear_BasExp,False,0,77172,4566,0.9295011328145713,0.4821891266852636
F,other,2,tree,False,0,77172,4566,0.8468385567308067,0.4533511260617699
F,all,2,featureless,False,0,95434,4566,1.0871457975944494,0.6620947862701534
F,all,2,linear,False,0,95434,4566,0.972485397107115,0.5194158590862082
F,all,2,linear_BasExp,False,0,95434,4566,0.9243204439574901,0.49399717967608575
F,all,2,tree,False,0,95434,4566,0.8441254335867004,0.45887750880709516
F,same,3,featureless,False,0,18262,4566,1.077053330369339,0.7356840936335837
F,same,3,linear,False,0,18262,4566,0.9200349915992658,0.5836141718451284
F,same,3,linear_BasExp,False,0,18262,4566,0.8890553538271115,0.547885220042768
F,same,3,tree,False,0,18262,4566,0.8406573952564725,0.4884889221620653
F,other,3,featureless,False,0,77172,4566,1.088763890996465,0.6632938697275386
F,other,3,linear,False,0,77172,4566,0.9358921164388816,0.525871873764879
F,other,3,linear_BasExp,False,0,77172,4566,0.8983896747402844,0.4973726983014311
F,other,3,tree,False,0,77172,4566,0.8366607322771238,0.4639793600740466
F,all,3,featureless,False,0,95434,4566,1.083616694073982,0.6754606953369132
F,all,3,linear,False,0,95434,4566,0.9287140080727738,0.5342807932542666
F,all,3,linear_BasExp,False,0,95434,4566,0.8937749856360441,0.5056984879928178
F,all,3,tree,False,0,95434,4566,0.8346651705390764,0.46719210186748716
F,same,4,featureless,False,0,18263,4565,1.06544888641208,0.7031139179765349
F,same,4,linear,False,0,18263,4565,0.9348984270704805,0.5495774672673946
F,same,4,linear_BasExp,False,0,18263,4565,0.89975803351155,0.5232956954826655
F,same,4,tree,False,0,18263,4565,0.8392427443566711,0.488753951391015
F,other,4,featureless,False,0,77172,4565,1.083557128013133,0.6406067882766509
F,other,4,linear,False,0,77172,4565,0.956439854391591,0.5194376678482978
F,other,4,linear_BasExp,False,0,77172,4565,0.9152585661404885,0.4980594262649335
F,other,4,tree,False,0,77172,4565,0.8390924471493897,0.47182218590886615
F,all,4,featureless,False,0,95435,4565,1.0774198771971597,0.6507376427104826
F,all,4,linear,False,0,95435,4565,0.9488722280647266,0.5236546460187493
F,all,4,linear_BasExp,False,0,95435,4565,0.9094891989751833,0.5027350344340682
F,all,4,tree,False,0,95435,4565,0.837588555149157,0.47719378906602605
F,same,5,featureless,False,0,18263,4565,1.0573528887631352,0.7001774974065176
F,same,5,linear,False,0,18263,4565,0.9419636701754418,0.5517593266859178
F,same,5,linear_BasExp,False,0,18263,4565,0.8969767402203247,0.5178623074837232
F,same,5,tree,False,0,18263,4565,0.8420571212186212,0.4602931441246936
F,other,5,featureless,False,0,77172,4565,1.0734261217105312,0.6406067882766509
F,other,5,linear,False,0,77172,4565,0.9623690119076009,0.5197990078360539
F,other,5,linear_BasExp,False,0,77172,4565,0.9160931010581909,0.49196686501945563
F,other,5,tree,False,0,77172,4565,0.84392744227673,0.4511323712772551
F,all,5,featureless,False,0,95435,4565,1.0675647813010096,0.6489669645497075
F,all,5,linear,False,0,95435,4565,0.9554701276464614,0.5290737668501022
F,all,5,linear_BasExp,False,0,95435,4565,0.909477894934475,0.4975955350120431
F,all,5,tree,False,0,95435,4565,0.8423280699111663,0.4590002679613893
M,same,1,featureless,False,0,61737,15435,0.9743679862011395,0.6186177004855014
M,same,1,linear,False,0,61737,15435,0.8293562623204295,0.4825835256209476
M,same,1,linear_BasExp,False,0,61737,15435,0.7882273267818564,0.4459439107241725
M,same,1,tree,False,0,61737,15435,0.7343910638096561,0.40461860585364057
M,other,1,featureless,False,0,22828,15435,0.991657956755495,0.7052988166016756
M,other,1,linear,False,0,22828,15435,0.8578134611710055,0.5535357986372627
M,other,1,linear_BasExp,False,0,22828,15435,0.8086333462542457,0.5036628415390842
M,other,1,tree,False,0,22828,15435,0.7461203943173575,0.4264562490699631
M,all,1,featureless,False,0,84565,15435,0.9751521087527568,0.6396852312099189
M,all,1,linear,False,0,84565,15435,0.8304165629618061,0.4942352781324111
M,all,1,linear_BasExp,False,0,84565,15435,0.7892454826887848,0.45827147289728
M,all,1,tree,False,0,84565,15435,0.7346068428988798,0.4091327010807094
M,same,2,featureless,False,0,61737,15435,0.9803611093070934,0.6283279798005053
M,same,2,linear,False,0,61737,15435,0.829532135635037,0.4806940325908629
M,same,2,linear_BasExp,False,0,61737,15435,0.7885194484968195,0.44900627679153465
M,same,2,tree,False,0,61737,15435,0.7347714493007952,0.3997898381278582
M,other,2,featureless,False,0,22828,15435,0.9977847007714156,0.7125678823428961
M,other,2,linear,False,0,22828,15435,0.8569772197662984,0.5544793648096349
M,other,2,linear_BasExp,False,0,22828,15435,0.8067642720593858,0.5054759898678698
M,other,2,tree,False,0,22828,15435,0.7449870762646145,0.42637968996950315
M,all,2,featureless,False,0,84565,15435,0.9812173565093665,0.6490757953442329
M,all,2,linear,False,0,84565,15435,0.830332295761873,0.49855100062757657
M,all,2,linear_BasExp,False,0,84565,15435,0.789039606141422,0.4600641630382106
M,all,2,tree,False,0,84565,15435,0.7345459051177794,0.4028405343097767
M,same,3,featureless,False,0,61738,15434,0.9702955903563589,0.6196294486907775
M,same,3,linear,False,0,61738,15434,0.8447878037655225,0.48055977354178014
M,same,3,linear_BasExp,False,0,61738,15434,0.80045268770223,0.4492494731279568
M,same,3,tree,False,0,61738,15434,0.7394827494306051,0.4011826365913488
M,other,3,featureless,False,0,22828,15434,0.9917817450287255,0.7104421969791761
M,other,3,linear,False,0,22828,15434,0.8756335454176627,0.5619258910273279
M,other,3,linear_BasExp,False,0,22828,15434,0.8135754254494688,0.5106943552151106
M,other,3,tree,False,0,22828,15434,0.7502703653207088,0.4232658214576845
M,all,3,featureless,False,0,84566,15434,0.9724242787178277,0.643453504858269
M,all,3,linear,False,0,84566,15434,0.8471415967265035,0.49681891315877214
M,all,3,linear_BasExp,False,0,84566,15434,0.7977639039736029,0.46001513490689083
M,all,3,tree,False,0,84566,15434,0.7386957900700061,0.40251742334222496
M,same,4,featureless,False,0,61738,15434,0.9617632365705999,0.6192673528432053
M,same,4,linear,False,0,61738,15434,0.822905796706111,0.4755167106923617
M,same,4,linear_BasExp,False,0,61738,15434,0.7822663685157263,0.4461311471258768
M,same,4,tree,False,0,61738,15434,0.7277767279293653,0.39642522091839727
M,other,4,featureless,False,0,22828,15434,0.9832322332395095,0.7084200605753324
M,other,4,linear,False,0,22828,15434,0.8566673647877745,0.5503885352069521
M,other,4,linear_BasExp,False,0,22828,15434,0.8068286681305094,0.5009738719882164
M,other,4,tree,False,0,22828,15434,0.7406543524876606,0.4207968280806742
M,all,4,featureless,False,0,84566,15434,0.963844285832575,0.6392621629020392
M,all,4,linear,False,0,84566,15434,0.8254710700874909,0.4925087579152714
M,all,4,linear_BasExp,False,0,84566,15434,0.7845735344479766,0.45716458218631806
M,all,4,tree,False,0,84566,15434,0.7279254489147342,0.3995954148304419
M,same,5,featureless,False,0,61738,15434,0.983871766441991,0.6209667873161703
M,same,5,linear,False,0,61738,15434,0.8372926316199947,0.48156647764397953
M,same,5,linear_BasExp,False,0,61738,15434,0.8004275757579671,0.4486428788984337
M,same,5,tree,False,0,61738,15434,0.7449094876466704,0.4002426455985528
M,other,5,featureless,False,0,22828,15434,1.0023183953582175,0.7081213090469406
M,other,5,linear,False,0,22828,15434,0.8663324595207047,0.5552354754685586
M,other,5,linear_BasExp,False,0,22828,15434,0.8240895226419321,0.5054091030829514
M,other,5,tree,False,0,22828,15434,0.7570266666920968,0.42953086689898834
M,all,5,featureless,False,0,84566,15434,0.9850764336516594,0.6409032058668763
M,all,5,linear,False,0,84566,15434,0.8387933437973416,0.49838790994362414
M,all,5,linear_BasExp,False,0,84566,15434,0.802172909071264,0.4603793344048104
M,all,5,tree,False,0,84566,15434,0.744966077022219,0.4046628864471026
F,other,1,featureless,True,1,18262,4566,1.0950327930811465,0.6640899341983132
F,other,1,linear,True,1,18262,4566,0.9595452094492172,0.525055874389827
F,other,1,linear_BasExp,True,1,18262,4566,0.9120963392223391,0.49940558901307264
F,other,1,tree,True,1,18262,4566,0.8553228270229885,0.4546406350216714
F,all,1,featureless,True,1,18262,4566,1.088898673432343,0.6754825786255134
F,all,1,featureless,True,1,77172,4566,1.0878463699708893,0.6779066550761508
F,all,1,linear,True,1,18262,4566,0.9474816741486415,0.5315667736576573
F,all,1,linear,True,1,77172,4566,0.9485955084164319,0.5307033987266103
F,all,1,linear_BasExp,True,1,18262,4566,0.9072455018405029,0.5010967985887202
F,all,1,linear_BasExp,True,1,77172,4566,0.9088920926446582,0.5022433070065472
F,all,1,tree,True,1,18262,4566,0.8484992121134396,0.4626283186933123
F,all,1,tree,True,1,77172,4566,0.8428092400611206,0.4508322247109735
F,other,2,featureless,True,1,18262,4566,1.0940845329548368,0.650038663197464
F,other,2,linear,True,1,18262,4566,0.9812508154790363,0.513033822295488
F,other,2,linear_BasExp,True,1,18262,4566,0.9441827728180486,0.48527694020118967
F,other,2,tree,True,1,18262,4566,0.8548086880783442,0.4553196117005057
F,all,2,featureless,True,1,18262,4566,1.0860172832705033,0.6644002933161258
F,all,2,featureless,True,1,77172,4566,1.0871358844562438,0.6620947862701534
F,all,2,linear,True,1,18262,4566,0.9757653920296309,0.5142273021598724
F,all,2,linear,True,1,77172,4566,0.9722238464103862,0.5184754743631299
F,all,2,linear_BasExp,True,1,18262,4566,0.9382584207014772,0.49083917523511567
F,all,2,linear_BasExp,True,1,77172,4566,0.9238159462950777,0.49457721708820856
F,all,2,tree,True,1,18262,4566,0.851041626399872,0.452927985399736
F,all,2,tree,True,1,77172,4566,0.8437780657314224,0.45920749954223017
F,other,3,featureless,True,1,18262,4566,1.0904363783361841,0.6613051883093507
F,other,3,linear,True,1,18262,4566,0.9314561142658511,0.5227712642422693
F,other,3,linear_BasExp,True,1,18262,4566,0.8998966399691825,0.49993881936326967
F,other,3,tree,True,1,18262,4566,0.8469239982383745,0.4707153225909364
F,all,3,featureless,True,1,18262,4566,1.0840885936497406,0.6730760141993557
F,all,3,featureless,True,1,77172,4566,1.083721777043154,0.6754453200319239
F,all,3,linear,True,1,18262,4566,0.9335523224048391,0.5373862987748343
F,all,3,linear,True,1,77172,4566,0.9291866893801107,0.5368538715112908
F,all,3,linear_BasExp,True,1,18262,4566,0.8958308307547542,0.5032190159607576
F,all,3,linear_BasExp,True,1,77172,4566,0.8939662751736198,0.5053623688513804
F,all,3,tree,True,1,18262,4566,0.8428602746737712,0.4742396017880097
F,all,3,tree,True,1,77172,4566,0.8353967542558745,0.46682017671561604
F,other,4,featureless,True,1,18262,4565,1.0839946197518282,0.6411515900998386
F,other,4,linear,True,1,18262,4565,0.956639058699197,0.5184967470007629
F,other,4,linear_BasExp,True,1,18262,4565,0.9531845396692266,0.488336664933542
F,other,4,tree,True,1,18262,4565,0.8438674390774563,0.469244682670075
F,all,4,featureless,True,1,18262,4565,1.0781849904962368,0.6483812402379202
F,all,4,featureless,True,1,77172,4565,1.0770348381439665,0.6507042477941278
F,all,4,linear,True,1,18262,4565,0.948504052045857,0.5258480449511044
F,all,4,linear,True,1,77172,4565,0.9493960972779699,0.5230004987749659
F,all,4,linear_BasExp,True,1,18262,4565,0.910560571780616,0.5045074416904134
F,all,4,linear_BasExp,True,1,77172,4565,0.9099701092401462,0.5008879729145642
