subset,category,test_fold,model,mse,mae
M,all,1,featureless,0.8627693351982049,0.3575122276420492
M,all,1,linear,0.8088544426493399,0.3095039809534945
M,all,1,gam,0.7796630950776905,0.29917324448475424
M,same,1,featureless,0.8630376561364097,0.3908227642674723
M,same,1,linear,0.8103008607521321,0.34212418562619523
M,same,1,gam,0.7819209727032886,0.33062719383805156
M,other,1,featureless,0.8643084708242723,0.33933982046919486
M,other,1,linear,0.8105251686143354,0.29210390168734257
M,other,1,gam,0.7818148168127975,0.2834662225029405
M,all,2,featureless,1.177448687302438,0.38109947379761633
M,all,2,linear,1.0793876690968165,0.3289575391219515
M,all,2,gam,1.0500064613897728,0.3187870436422329
M,same,2,featureless,1.1751180101984378,0.4107018238690959
M,same,2,linear,1.075952961584241,0.35955958155940404
M,same,2,gam,1.0462154477629546,0.3482433013453474
M,other,2,featureless,1.180115688030549,0.3649358315623281
M,other,2,linear,1.0835163088677549,0.31260625306443524
M,other,2,gam,1.0548238694265297,0.30450910425081223
M,all,3,featureless,1.176832576889413,0.38088078056577535
M,all,3,linear,1.0772875014473493,0.33034297874517043
M,all,3,gam,1.0495428934412205,0.320325647187514
M,same,3,featureless,1.1745224537309902,0.41052488281537264
M,same,3,linear,1.0749780402062319,0.3606784244163889
M,same,3,gam,1.0466666976453645,0.34911677978112743
M,other,3,featureless,1.1794908240264976,0.3647123990339448
M,other,3,linear,1.0807556487171859,0.31407355667299225
M,other,3,gam,1.0534597677392266,0.3057504410327315
M,all,4,featureless,1.1493558384829283,0.38448804457046487
M,all,4,linear,1.0535802350752552,0.3386524589166763
M,all,4,gam,1.0337408230814917,0.33091623762418876
M,same,4,featureless,1.1466515512208764,0.413659720693481
M,same,4,linear,1.052105458413726,0.3687999251196983
M,same,4,gam,1.031336520925491,0.3594257398700877
M,other,4,featureless,1.1521813446130909,0.3685568758407814
M,other,4,linear,1.056484286805214,0.3220772877001823
M,other,4,gam,1.0380098272836296,0.3164473365647669
M,all,5,featureless,1.4327564417023189,0.36827750689376165
M,all,5,linear,1.3488011491641092,0.31663623555540804
M,all,5,gam,1.3201237042470506,0.30664502236489405
M,same,5,featureless,1.4317737861379118,0.3999372016342051
M,same,5,linear,1.3465724491232354,0.34821359050893264
