subset,category,test_fold,model,mse,mae
F,all,1,featureless,0.7702684440657871,0.3366780648585582
F,all,1,linear,0.7072118882433459,0.28830292915206085
F,all,1,gam,0.6870386610927497,0.27901840034443
F,same,1,featureless,0.7700085527989166,0.32877172742995325
F,same,1,linear,0.706810674680221,0.28436524900940013
F,same,1,gam,0.6864801738925174,0.27632363291058387
F,other,1,featureless,0.7805799855286397,0.40456227630444935
F,other,1,linear,0.7263648585607553,0.3738552972800184
F,other,1,gam,0.7246691339303534,0.3592670430526806
F,all,2,featureless,0.8547863912832742,0.34217690853515936
F,all,2,linear,0.7853583814667158,0.292224136812967
F,all,2,gam,0.7626263253464389,0.2823203132047135
F,same,2,featureless,0.8547236816596988,0.33415004473390514
F,same,2,linear,0.7851176927638458,0.2881111713090963
F,same,2,gam,0.762330365158313,0.2793387149554248
F,other,2,featureless,0.8637866166035091,0.41140394140426795
F,other,2,linear,0.8027163860692507,0.3790606976026725
F,other,2,gam,0.7953801017018778,0.36397639053266817
F,all,3,featureless,1.2650125056505857,0.35036450859517887
F,all,3,linear,1.175240444000001,0.2991060621899436
F,all,3,gam,1.1588895795006535,0.2891927741076545
F,same,3,featureless,1.2651535491478372,0.3421249397566129
F,same,3,linear,1.1761498731578515,0.295187827749522
F,same,3,gam,1.159613404605905,0.2866150367571094
F,other,3,featureless,1.272650604876807,0.4212105093917799
F,other,3,linear,1.1843790428019263,0.385627482982318
F,other,3,gam,1.1760848439299922,0.3705219434363416
F,all,4,featureless,0.9962548170339646,0.3451191966479995
F,all,4,linear,0.9142160140478756,0.3004559637266213
F,all,4,gam,0.8967111956337703,0.2917400991247206
F,same,4,featureless,0.9962276429796427,0.3369590733726648
F,same,4,linear,0.9144315815681096,0.29618795164090417
F,same,4,gam,0.8964897593757178,0.2889696946824862
F,other,4,featureless,1.0050179844272216,0.4152721157001443
F,other,4,linear,0.9302040030183647,0.3870974834816811
F,other,4,gam,0.9288232654431431,0.373432113944166
F,all,5,featureless,0.9859513298949051,0.3361002345206641
F,all,5,linear,0.9247046816652214,0.28644289005637086
F,all,5,gam,0.9090176363364303,0.2769277688154409
F,same,5,featureless,0.9856386136081431,0.3281891698725786
F,same,5,linear,0.9243797290470123,0.28276333300323275
F,same,5,gam,0.9112551445457948,0.27463090354024355
F,other,5,featureless,0.9966129750767837,0.4039309780272926
F,other,5,linear,0.9432026152549723,0.37205936442894283
F,other,5,gam,0.9480176067974753,0.35682277579567556
P,all,1,featureless,0.8155937563172319,0.3552580511602414
P,all,1,linear,0.744289594088798,0.33983979010897414
P,all,1,gam,0.7412157806475395,0.3397888124054444
P,same,1,featureless,0.82100400826906,0.432076033722043
P,same,1,linear,0.7479318438891073,0.3788351519483131
P,same,1,gam,0.7409558181029371,0.370371578453013
P,other,1,featureless,0.8160806687853807,0.3496311800349031
P,other,1,linear,0.743917456687729,0.3352928874323212
P,other,1,gam,0.7447385895963674,0.324563694813138
P,all,2,featureless,1.0592380282397413,0.38225199884292793
P,all,2,linear,0.9699124453471348,0.3644762006947578
P,all,2,gam,0.9477228609371594,0.35958901238149255
P,same,2,featureless,1.0566714980432743,0.45076564659500273
P,same,2,linear,0.9613406465434463,0.3931809910377228
P,same,2,gam,0.9362972141049697,0.3832568335665021
P,other,2,featureless,1.0602019675760561,0.3772174420006689
P,other,2,linear,0.9696596058894295,0.35957086817649214
P,other,2,gam,0.9547529079110408,0.3504258475194508
P,all,3,featureless,1.5059072575375352,0.44411634518273774
P,all,3,linear,1.3823391660090125,0.410748836090794
P,all,3,gam,1.363167531755597,0.4106429020925632
P,same,3,featureless,1.4917113164319549,0.4993695706912139
P,same,3,linear,1.370611025110994,0.4394123535157703
P,same,3,gam,1.351866287740175,0.43213194134430355
P,other,3,featureless,1.5075385620995063,0.4400591041072873
P,other,3,linear,1.3828339847201494,0.4140997561608873
P,other,3,gam,1.3662128634783708,0.4037945264910646
P,all,4,featureless,1.4429684442169963,0.4321404539974667
P,all,4,linear,1.3676053058306077,0.4100778425276205
P,all,4,gam,1.3533355731561747,0.4107944069287393
P,same,4,featureless,1.4309920466935147,0.48981021057441604
P,same,4,linear,1.3669478862289413,0.4408680429486771
P,same,4,gam,1.3471668521087474,0.43030934799427967
P,other,4,featureless,1.444476773957237,0.42788638414528407
P,other,4,linear,1.3672566869435356,0.4138463964209627
P,other,4,gam,1.3646210793862976,0.40504504124580576
P,all,5,featureless,1.5178718519197012,0.4399683434090353
P,all,5,linear,1.3594816759495243,0.40907827758447746
P,all,5,gam,1.323077385507914,0.40518413774485873
P,same,5,featureless,1.5045907039242903,0.49776560546608994
P,same,5,linear,1.3513912412242275,0.4435524769566579
P,same,5,gam,1.3248753758265308,0.4299666053484718
P,other,5,featureless,1.5194530009410232,0.4356981792942709
P,other,5,linear,1.3594861006767947,0.4137447601069981
P,other,5,gam,1.325215728198952,0.4001471922915877
