subset,category,test_fold,model,mse,mae
Albany,all,1,featureless,0.37384127030503683,0.5243395012474485
Albany,all,1,linear,0.42207074336313405,0.5577639715361966
Albany,all,1,gam,0.4988426112823042,0.6076761336925104
Albany,same,1,featureless,1.1963700481641037,0.9962424966273997
Albany,same,1,linear,0.5780454297217886,0.636915121228082
Albany,same,1,gam,0.5807221499796921,0.635153284117581
Albany,other,1,featureless,0.366660220581523,0.5189023265019058
Albany,other,1,linear,0.41421139649772704,0.5524735977003364
Albany,other,1,gam,0.4902640559850841,0.6022910065862499
Albany,all,2,featureless,0.2543829243158,0.41447896318558775
Albany,all,2,linear,0.25473814449071747,0.40773764877028645
Albany,all,2,gam,0.26030114641745966,0.4056482652055187
Albany,same,2,featureless,0.4411565346970029,0.5281958911863782
Albany,same,2,linear,0.46993287904680026,0.4967888405241574
Albany,same,2,gam,0.38444794656298026,0.45764173506974615
Albany,other,2,featureless,0.254983805133998,0.4157359481463377
Albany,other,2,linear,0.25453257687260816,0.40836705080726243
Albany,other,2,gam,0.2592802064355315,0.40532437553318373
Albany,all,3,featureless,1.0441720232622367,0.8806563555752474
Albany,all,3,linear,0.9862929316336896,0.8540495750281215
Albany,all,3,gam,0.8697805394454134,0.8057114116776063
Albany,same,3,featureless,0.7039772252163621,0.7310976061037684
Albany,same,3,linear,0.37016946491276276,0.5396884418103047
Albany,same,3,gam,0.3517131562412434,0.5274443509742587
Albany,other,3,featureless,1.0507446751657545,0.883516929160277
Albany,other,3,linear,0.9917903842160676,0.8563697660213626
Albany,other,3,gam,0.8736335049186028,0.8073631017173596
Albany,all,4,featureless,0.8702038258667345,0.8511844561090741
Albany,all,4,linear,0.7992522830120605,0.8085723883607485
Albany,all,4,gam,0.6580813166228398,0.7259085065228427
Albany,same,4,featureless,0.47913399763086834,0.6133728106068856
Albany,same,4,linear,0.14458824320346134,0.29654396838684255
Albany,same,4,gam,0.1442322655596618,0.29838293056500553
Albany,other,4,featureless,0.8772717606723656,0.8553262027597022
Albany,other,4,linear,0.8051047439184403,0.8120761468426927
Albany,other,4,gam,0.6620041113254597,0.7282351759173853
Albany,all,5,featureless,0.83989098625593,0.768530049397815
Albany,all,5,linear,0.7766591399708314,0.7298732568440389
Albany,all,5,gam,0.6524507669302023,0.6597596862539342
Albany,same,5,featureless,0.47770002835960584,0.5678016190024888
Albany,same,5,linear,0.2388685498949604,0.4223133809563847
Albany,same,5,gam,0.2390409697802066,0.42271269881484086
Albany,other,5,featureless,0.8467154663294268,0.7726055670990756
Albany,other,5,linear,0.7823668680975624,0.733249082255647
Albany,other,5,gam,0.6563809808795648,0.6619607545108105
Atlanta,all,1,featureless,0.7472412932502557,0.8334742099517805
Atlanta,all,1,linear,0.680395422402019,0.795173634938494
Atlanta,all,1,gam,0.6879298581151501,0.801612762026186
Atlanta,same,1,featureless,0.7381967740256569,0.8280306391856196
Atlanta,same,1,linear,0.07492550373154684,0.2258883911384595
Atlanta,same,1,gam,0.19199645909638632,0.3945010064121041
Atlanta,other,1,featureless,0.7473780886030209,0.8335562692509186
Atlanta,other,1,linear,0.6829912999787959,0.7967838492048063
Atlanta,other,1,gam,0.6926948425118626,0.8045944775657992
Atlanta,all,2,featureless,1.039990167515753,0.9132510793931828
Atlanta,all,2,linear,0.9945712646668734,0.8950256084486479
Atlanta,all,2,gam,0.9831280340210282,0.892709760364785
Atlanta,same,2,featureless,1.0253624207896654,0.9069140170325595
Atlanta,same,2,linear,0.2188448166542292,0.34484060345309403
Atlanta,same,2,gam,0.7099620185608119,0.5181980757917399
Atlanta,other,2,featureless,1.0402119072545246,0.9133466076628141
Atlanta,other,2,linear,0.997449553397483,0.8962828609684671
Atlanta,other,2,gam,0.9895261601644847,0.8955015998073957
Atlanta,all,3,featureless,0.9733071271948514,0.9014850266180996
Atlanta,all,3,linear,0.9107974093384812,0.8717969074425761
Atlanta,all,3,gam,0.8276255677115819,0.8313273498376318
Atlanta,same,3,featureless,1.028956402863505,0.8977836833368422
Atlanta,same,3,linear,0.2687549304395102,0.4158155634913879
Atlanta,same,3,gam,0.24967210539127085,0.4004129595709452
Atlanta,other,3,featureless,0.9731853554764122,0.901676990071996
Atlanta,other,3,linear,0.9121093416546754,0.872794990614623
Atlanta,other,3,gam,0.8309030994497335,0.8332732630142956
Atlanta,all,4,featureless,0.6809091196150725,0.6733577007653027
Atlanta,all,4,linear,0.6644012275672371,0.6658583361281983
Atlanta,all,4,gam,0.6418011494034329,0.6580997532640154
Atlanta,same,4,featureless,0.8563206216659031,0.7496268164069582
Atlanta,same,4,linear,0.8441805402177002,0.7451095281526698
Atlanta,same,4,gam,0.8250501990519814,0.7379581532244872
Atlanta,other,4,featureless,0.6792989208286744,0.6725923691305329
Atlanta,other,4,linear,0.6631578278871444,0.6653520764873675
Atlanta,other,4,gam,0.6413633008678702,0.6581132270540863
Atlanta,all,5,featureless,1.5958351343912822,0.9341316309380511
Atlanta,all,5,linear,1.545422566192396,0.9111953722494113
Atlanta,all,5,gam,1.4529655064833091,0.8671224528774281
Atlanta,same,5,featureless,2.144702451102046,1.1437564846930683
Atlanta,same,5,linear,1.2560535281269085,0.7732103399825653
Atlanta,same,5,gam,1.2357135672772572,0.7641109739975901
Atlanta,other,5,featureless,1.5894675493554926,0.9313247790662182
Atlanta,other,5,linear,1.5394205690278528,0.9083470047090341
Atlanta,other,5,gam,1.4477108783277914,0.8645083617150779
BaltimoreWashington,all,1,featureless,0.3805850301827766,0.5720550540123401
BaltimoreWashington,all,1,linear,0.4455825426083297,0.6225585363927736
BaltimoreWashington,all,1,gam,0.36469103195426344,0.5588180783641201
BaltimoreWashington,same,1,featureless,0.965313624275542,0.9150488061949364
BaltimoreWashington,same,1,linear,0.15350419932017623,0.2741080055553976
BaltimoreWashington,same,1,gam,0.18106966703372437,0.3276458743029995
BaltimoreWashington,other,1,featureless,0.3753989052721427,0.5675211724663579
BaltimoreWashington,other,1,linear,0.4412893429974436,0.6193010716584522
BaltimoreWashington,other,1,gam,0.36238682339296413,0.5566315318332261
BaltimoreWashington,all,2,featureless,0.28438995919981536,0.4631535399674223
BaltimoreWashington,all,2,linear,0.306750985397377,0.456997192787431
BaltimoreWashington,all,2,gam,0.2654486336042226,0.43265169378194884
BaltimoreWashington,same,2,featureless,0.48120482567311856,0.5449010202444686
BaltimoreWashington,same,2,linear,0.16551483731188799,0.3454447771121776
BaltimoreWashington,same,2,gam,0.35192248839676465,0.42431415932965694
BaltimoreWashington,other,2,featureless,0.2839694690629997,0.4638770050891651
BaltimoreWashington,other,2,linear,0.30622824703543083,0.4573585857865989
BaltimoreWashington,other,2,gam,0.266065800453161,0.4336126039906029
BaltimoreWashington,all,3,featureless,0.28726814997745176,0.46898377604210467
BaltimoreWashington,all,3,linear,0.2748484173937071,0.4550827831083484
BaltimoreWashington,all,3,gam,0.21749634199494847,0.4080076565362786
BaltimoreWashington,same,3,featureless,0.2067028456462155,0.37634018115920764
BaltimoreWashington,same,3,linear,0.19570033154742889,0.35730686276453183
BaltimoreWashington,same,3,gam,0.20610898835918587,0.3629433370810415
BaltimoreWashington,other,3,featureless,0.2901271951437628,0.47145474875955046
BaltimoreWashington,other,3,linear,0.2771475287099328,0.45702307382032376
BaltimoreWashington,other,3,gam,0.21991841997287528,0.41030358949221263
BaltimoreWashington,all,4,featureless,1.1091877697002432,0.8995749629718454
BaltimoreWashington,all,4,linear,1.0383871294980513,0.8652342493544648
BaltimoreWashington,all,4,gam,0.9052935666250685,0.7991847486555343
BaltimoreWashington,same,4,featureless,0.8223404897780332,0.7544960595221408
BaltimoreWashington,same,4,linear,0.42762407903563193,0.5278921045755902
BaltimoreWashington,same,4,gam,0.4160723485110367,0.5180914567104905
BaltimoreWashington,other,4,featureless,1.1141154275893872,0.9020925675266973
BaltimoreWashington,other,4,linear,1.041623948825651,0.8667986661901433
BaltimoreWashington,other,4,gam,0.9094091832370382,0.8013368911595647
BaltimoreWashington,all,5,featureless,1.2299267071256021,0.9186898404700841
BaltimoreWashington,all,5,linear,1.1521204161076057,0.8799048933994663
BaltimoreWashington,all,5,gam,1.0101150840484814,0.8083976966654463
BaltimoreWashington,same,5,featureless,0.9400815822595703,0.7710678992928015
BaltimoreWashington,same,5,linear,0.48027823423493815,0.5930836582244885
BaltimoreWashington,same,5,gam,0.6670557428213648,0.7092930079660927
BaltimoreWashington,other,5,featureless,1.234816147048728,0.9211033350502392
BaltimoreWashington,other,5,linear,1.1551217544716992,0.8813849267754403
BaltimoreWashington,other,5,gam,1.0141531691360002,0.8104900633579837
Boise,all,1,featureless,0.8177107092013944,0.861334237300329
Boise,all,1,linear,0.8661569173329939,0.8887728663819267
Boise,all,1,gam,1.005999415437266,0.9644791161708018
Boise,same,1,featureless,0.8757981540629244,0.8944183099687022
Boise,same,1,linear,0.4114021533562113,0.5672551631319501
Boise,same,1,gam,0.4328961736241381,0.5886122738737928
Boise,other,1,featureless,0.8168518166185907,0.8608355102822699
Boise,other,1,linear,0.866405884675322,0.8889119620501332
Boise,other,1,gam,1.0091591939135185,0.9661162747067836
Boise,all,2,featureless,1.4725696767560854,1.0583689576997257
Boise,all,2,linear,1.527614244664213,1.0755232522995193
Boise,all,2,gam,1.6630342926360533,1.1201502504048186
Boise,same,2,featureless,1.5102141703396261,1.0703672798163346
Boise,same,2,linear,0.48818082675784924,0.6038505801236909
Boise,same,2,gam,0.5511907551446753,0.6298845095068545
Boise,other,2,featureless,1.47201006302694,1.0581880885706167
Boise,other,2,linear,1.5282433962970545,1.0757338429914132
Boise,other,2,gam,1.666530094425627,1.1213916046347037
Boise,all,3,featureless,1.1748140525211304,0.9275875463362522
Boise,all,3,linear,1.1522632044135264,0.9229530504174834
Boise,all,3,gam,1.1306430904368399,0.9256305788779557
Boise,same,3,featureless,1.2491873868445036,0.9017117557890441
Boise,same,3,linear,0.6186996244660635,0.5896027361642421
Boise,same,3,gam,0.6123865957730343,0.5773765197722271
Boise,other,3,featureless,1.1743098243419852,0.9280326660664115
Boise,other,3,linear,1.1520956213200808,0.9236367415197537
Boise,other,3,gam,1.1313451271293011,0.9268181302083259
Boise,all,4,featureless,0.578227881435884,0.5909484193132486
