subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Archaeal nitrifier,same,1,featureless,False,0,1110,278,0.022593902,0.009951854,0.1260356903076172
Methanogen or Acetogen,same,1,featureless,False,0,24,6,0.058482945,0.028692666,0.00307297706604
Nitrogen Fixer,same,1,featureless,False,0,5116,1280,0.033416167,0.022157133,0.5392801761627197
Heterotroph,same,1,featureless,False,0,141668,35417,0.03456667,0.019396842,5.673065423965454
Heterotroph,same,1,featureless,True,1,11741,35417,0.034566738,0.01934422,2.7663369178771973
Heterotroph,same,1,featureless,True,2,11741,35417,0.034571562,0.01978878,2.7665836811065674
Heterotroph,same,1,featureless,True,3,11741,35417,0.034566667,0.01939695,2.766488790512085
Methanotroph,same,1,featureless,False,0,488,122,0.03333195,0.022955524,0.0562458038330078
"Iron, sulfur, hydrogen oxidizer",same,1,featureless,False,0,314,79,0.026690824,0.020906147,0.0386679172515869
Bacterial nitrifier,same,1,featureless,False,0,2339,585,0.029520154,0.017132213,0.2644479274749756
Nitrogen Fixer,same,1,linear,False,0,5116,1280,0.031796515,0.019032452,91.21300506591795
Heterotroph,same,1,linear,False,0,141668,35417,0.03228173,0.016130729,21312.17539262772
Heterotroph,same,1,linear,True,1,11741,35417,0.033064198,0.016099367,2607.226916074753
Heterotroph,same,1,linear,True,2,11741,35417,0.033144556,0.016616512,2606.0167417526245
Heterotroph,same,1,linear,True,3,11741,35417,0.03289677,0.016339585,2605.151818752289
"Iron, sulfur, hydrogen oxidizer",same,1,linear,False,0,314,79,0.022864936,0.019049406,0.7313055992126465
Methanotroph,same,1,linear,False,0,488,122,0.029447414,0.018327516,1.34242582321167
Methanogen or Acetogen,same,1,linear,False,0,24,6,0.05857051,0.029203646,0.1011791229248046
Archaeal nitrifier,same,1,linear,False,0,1110,278,0.022065334,0.009296344,3.729285955429077
Bacterial nitrifier,same,1,linear,False,0,2339,585,0.02661712,0.010714294,19.19229102134705
Heterotroph,same,1,tree,False,0,141668,35417,0.0332502718123609,0.0173726395408642,2118.515419483185
Heterotroph,same,1,tree,True,1,11741,35417,0.0336803874751557,0.0161034143573414,183.2803170681
Heterotroph,same,1,tree,True,2,11741,35417,0.033546944374538,0.0171355319858747,187.2350268363953
Heterotroph,same,1,tree,True,3,11741,35417,0.033538641361592,0.0174015440041287,211.08806920051572
Methanotroph,same,1,tree,False,0,488,122,0.0300308998995316,0.0182108164454499,2.0662198066711426
Nitrogen Fixer,same,1,tree,False,0,5116,1280,0.0329647070567275,0.0207226681089193,32.19766449928284
Bacterial nitrifier,same,1,tree,False,0,2339,585,0.026920498582543,0.0109521187451828,9.8603937625885
Archaeal nitrifier,same,1,tree,False,0,1110,278,0.0219779086634332,0.0092351091908906,2.571729898452759
"Iron, sulfur, hydrogen oxidizer",same,1,tree,False,0,314,79,0.0234825707474231,0.0170628009548181,0.9380435943603516
Methanogen or Acetogen,same,1,tree,False,0,24,6,0.0592239002349873,0.0279566591523368,0.1431853771209716
Methanotroph,same,2,featureless,False,0,488,122,0.035123352,0.022167925,0.0836303234100341
"Iron, sulfur, hydrogen oxidizer",same,2,featureless,False,0,314,79,0.026100073,0.018357959,0.0671329498291015
Archaeal nitrifier,same,2,featureless,False,0,1110,278,0.016764397,0.009311668,0.2067790031433105
Bacterial nitrifier,same,2,featureless,False,0,2339,585,0.030607607,0.016121132,0.382723331451416
Nitrogen Fixer,same,2,featureless,False,0,5117,1279,0.033131916,0.022197548,0.7759287357330322
Heterotroph,same,2,featureless,False,0,141668,35417,0.034212004,0.019423602,8.706335544586182
Heterotroph,same,2,featureless,True,1,11741,35417,0.034216296,0.0190019,4.207713842391968
Heterotroph,same,2,featureless,True,2,11741,35417,0.034213893,0.019612212,4.205990552902222
Heterotroph,same,2,featureless,True,3,11741,35417,0.034211952,0.019401073,4.210062026977539
Methanogen or Acetogen,same,2,featureless,False,0,24,6,0.05442293,0.025317803,0.0053532123565673
Bacterial nitrifier,same,2,linear,False,0,2339,585,0.027195666,0.011239294,13.04595947265625
Methanogen or Acetogen,same,2,linear,False,0,24,6,0.054460898,0.025317803,0.0861227512359619
Archaeal nitrifier,same,2,linear,False,0,1110,278,0.01658412,0.00916333,3.600755214691162
Methanotroph,same,2,linear,False,0,488,122,0.030071069,0.018018963,1.202211618423462
