subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
ammonia oxidizers,same,1,featureless,False,0,3129,783,0.02893354,0.014713173,0.3396050930023193
hydrogen or sulfur oxizier,same,1,featureless,False,0,6,2,0.0073571024,0.007346955,0.0011906623840332
sulfur oxidizer,same,1,featureless,False,0,17,5,0.021845179,0.021402076,0.0024826526641845
"hydrogen producer, fermenter heterotroph",same,1,featureless,False,0,3,1,0.0016818685,0.0016818685,0.0007920265197753
clostridium,same,1,featureless,False,0,180,45,0.04459534,0.025789712,0.0217361450195312
nitrogen fixer,same,1,featureless,False,0,5116,1280,0.033416167,0.022157133,0.5269448757171631
sulfate reducer,same,1,featureless,False,0,49,13,0.028379386,0.020909838,0.0069460868835449
Heterotroph,same,1,featureless,False,0,140836,35209,0.033951905,0.019521717,5.587491035461426
Heterotroph,same,1,featureless,True,1,12781,35209,0.033953484,0.019256994,2.802652359008789
Heterotroph,same,1,featureless,True,2,12781,35209,0.033953648,0.01968941,2.800621509552002
Heterotroph,same,1,featureless,True,3,12781,35209,0.033953868,0.019237649,2.8000290393829346
methanotrophs/methylotrophs,same,1,featureless,False,0,415,104,0.031167727,0.021505881,0.0505027770996093
nitrite oxidizer,same,1,featureless,False,0,12,3,0.019372039,0.008251898,0.0017592906951904
heterotroph,same,1,featureless,False,0,36,9,0.05744278,0.031203955,0.004690408706665
methanogen,same,1,featureless,False,0,6,2,0.013873488,0.013834011,0.0012011528015136
probably not methanotrophs,same,1,featureless,False,0,511,128,0.023486331,0.013350133,0.0626914501190185
heterotrophs,same,1,featureless,False,0,36,10,0.029195884,0.017838094,0.0044963359832763
"iron oxidizer, sulfur oxidizer",same,1,featureless,False,0,202,51,0.023966381,0.02062006,0.027550458908081
likely sulfur reducer!!!!!!,same,1,featureless,False,0,15,4,0.03716449,0.029667651,0.0022170543670654
"methanotrophs (also methylotrophs, so not all obligate autotrophs)",same,1,featureless,False,0,62,16,0.028412603,0.026140545,0.0081617832183837
acetogen,same,1,featureless,False,0,17,5,0.025392622,0.027299155,0.0024921894073486
"nitrite oxidizer, hydrogen oxidizer",same,1,featureless,False,0,308,77,0.038031105,0.013887109,0.1094021797180175
methanotrophs,same,1,featureless,False,0,10,3,0.04062611,0.026582621,0.0016279220581054
iron oxidizer,same,1,featureless,False,0,72,18,0.028044395,0.020733822,0.0097317695617675
hydrogen and sulfur oxidizers,same,1,featureless,False,0,16,4,0.023847759,0.016121551,0.0022401809692382
Heterotroph,same,1,linear,False,0,140836,35209,0.03174692,0.016184444,21211.91170692444
Heterotroph,same,1,linear,True,1,12781,35209,0.03250744,0.016357588,2936.2246391773224
Heterotroph,same,1,linear,True,2,12781,35209,0.032433487,0.016661305,2936.4167535305023
Heterotroph,same,1,linear,True,3,12781,35209,0.032517444,0.016223885,2935.006483316421
methanotrophs/methylotrophs,same,1,linear,False,0,415,104,0.028665688,0.016264254,0.9855692386627196
nitrogen fixer,same,1,linear,False,0,5116,1280,0.031796504,0.019032188,59.07921600341797
hydrogen or sulfur oxizier,same,1,linear,False,0,6,2,0.0073571024,0.007346955,0.1029644012451171
clostridium,same,1,linear,False,0,180,45,0.03671758,0.015296556,0.3976914882659912
"hydrogen producer, fermenter heterotroph",same,1,linear,False,0,3,1,0.0016818685,0.0016818685,0.0991029739379882
sulfur oxidizer,same,1,linear,False,0,17,5,0.01755276,0.016564107,0.1294050216674804
ammonia oxidizers,same,1,linear,False,0,3129,783,0.025163855,0.009700764,22.21432209014893
sulfate reducer,same,1,linear,False,0,49,13,0.02705334,0.017444976,0.1334643363952636
"iron oxidizer, sulfur oxidizer",same,1,linear,False,0,202,51,0.022219507,0.018290106,0.4095003604888916
"nitrite oxidizer, hydrogen oxidizer",same,1,linear,False,0,308,77,0.037856225,0.013643699,0.7266077995300293
nitrite oxidizer,same,1,linear,False,0,12,3,0.019351998,0.008222474,0.0938489437103271
"methanotrophs (also methylotrophs, so not all obligate autotrophs)",same,1,linear,False,0,62,16,0.028412603,0.026140545,0.1661255359649658
probably not methanotrophs,same,1,linear,False,0,511,128,0.023095768,0.011816708,1.2917537689208984
acetogen,same,1,linear,False,0,17,5,0.021141456,0.02294961,0.0690102577209472
heterotrophs,same,1,linear,False,0,36,10,0.029195884,0.017838094,0.1236557960510253
iron oxidizer,same,1,linear,False,0,72,18,0.026077135,0.025323015,0.1848311424255371
heterotroph,same,1,linear,False,0,36,9,0.055925433,0.035539687,0.1246454715728759
methanogen,same,1,linear,False,0,6,2,0.014011108,0.01383401,0.1366939544677734
hydrogen and sulfur oxidizers,same,1,linear,False,0,16,4,0.020905899,0.020116713,0.1310172080993652
methanotrophs,same,1,linear,False,0,10,3,0.023159541,0.027100626,0.0876367092132568
likely sulfur reducer!!!!!!,same,1,linear,False,0,15,4,0.035163924,0.025984025,0.1295387744903564
Heterotroph,same,1,tree,False,0,140836,35209,0.032720386921533,0.0174190742097349,2217.458897829056
Heterotroph,same,1,tree,True,1,12781,35209,0.0330212199435042,0.0169273451994252,188.70383667945865
Heterotroph,same,1,tree,True,2,12781,35209,0.0329319435577431,0.0165739479767454,180.4281873703003
Heterotroph,same,1,tree,True,3,12781,35209,0.033101601111296,0.0172752626435692,176.51292848587036
nitrogen fixer,same,1,tree,False,0,5116,1280,0.0329647070567275,0.0207226681089193,38.88665938377381
sulfur oxidizer,same,1,tree,False,0,17,5,0.0227253184496343,0.0026974993137021,0.0931143760681152
methanotrophs/methylotrophs,same,1,tree,False,0,415,104,0.0285996459375464,0.0163063758142024,1.3171124458312988
hydrogen or sulfur oxizier,same,1,tree,False,0,6,2,0.0073571018166505,0.0073469546623528,0.0775661468505859
