subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
ant,same,1,featureless,False,0,3236,810,0.005402795504778624,0.003979800269007683
ant,same,1,linear,False,0,3236,810,0.004955903297078321,0.0033083245798200267
ant,other,1,featureless,False,0,184780,810,0.02443694695830345,0.024616394191980362
ant,other,1,linear,False,0,184780,810,0.0754132392378192,0.0315136420956828
ant,all,1,featureless,False,0,188016,810,0.024036776274442673,0.024205893278121948
ant,all,1,linear,False,0,188016,810,0.05095281872581254,0.024811492323673634
ant,same,2,featureless,False,0,3237,809,0.005698276683688164,0.004138450138270855
ant,same,2,linear,False,0,3237,809,0.0052218327936556265,0.003386497445780191
ant,other,2,featureless,False,0,184780,809,0.024501677602529526,0.024531062692403793
ant,other,2,linear,False,0,184780,809,0.06918526824689754,0.03100955937376415
ant,all,2,featureless,False,0,188017,809,0.02410248853266239,0.024120423942804337
ant,all,2,linear,False,0,188017,809,0.029708884625515186,0.024127035764912597
ant,same,3,featureless,False,0,3237,809,0.005632872227579355,0.0040415492840111256
ant,same,3,linear,False,0,3237,809,0.005204620675567857,0.003468370918489675
ant,other,3,featureless,False,0,184780,809,0.024499086663126945,0.024726275354623795
ant,other,3,linear,False,0,184780,809,0.060557261064573244,0.0313708436008997
ant,all,3,featureless,False,0,188017,809,0.024099688977003098,0.024315692484378815
ant,all,3,linear,False,0,188017,809,0.0428169137534081,0.024129848603085813
ant,same,4,featureless,False,0,3237,809,0.005361488554626703,0.00388032803311944
ant,same,4,linear,False,0,3237,809,0.0048661446603757,0.003011177345402124
ant,other,4,featureless,False,0,184780,809,0.02443002536892891,0.024455085396766663
ant,other,4,linear,False,0,184780,809,0.07074567325994684,0.03159707365481457
ant,all,4,featureless,False,0,188017,809,0.024029584601521492,0.024044465273618698
ant,all,4,linear,False,0,188017,809,0.02940803200955627,0.02513583603042463
ant,same,5,featureless,False,0,3237,809,0.005301543977111578,0.0038865553215146065
ant,same,5,linear,False,0,3237,809,0.004947649284680831,0.0030492736727270172
ant,other,5,featureless,False,0,184780,809,0.024476928636431694,0.024790257215499878
ant,other,5,linear,False,0,184780,809,0.071431281986129,0.031178944978636713
ant,all,5,featureless,False,0,188017,809,0.02407647669315338,0.024379901587963104
ant,all,5,linear,False,0,188017,809,0.029626414853486372,0.024632408992318305
dim,same,1,featureless,False,0,47253,11814,0.02506197616457939,0.01262930128723383
dim,same,1,linear,False,0,47253,11814,0.07290890296711451,0.008791414168873413
dim,other,1,featureless,False,0,129759,11814,0.02693331427872181,0.020581822842359543
dim,other,1,linear,False,0,129759,11814,0.06127237244531467,0.016497949055708144
dim,all,1,featureless,False,0,177012,11814,0.02607898786664009,0.018313614651560783
dim,all,1,linear,False,0,177012,11814,0.04800459421368903,0.012834839301264722
dim,same,2,featureless,False,0,47253,11814,0.025044230744242668,0.012427866458892822
dim,same,2,linear,False,0,47253,11814,0.02022940568070717,0.008417642865405894
dim,other,2,featureless,False,0,129759,11814,0.027079222723841667,0.02057524025440216
dim,other,2,linear,False,0,129759,11814,0.05880132984276498,0.016307608304437102
dim,all,2,featureless,False,0,177012,11814,0.02619321644306183,0.018305141478776932
dim,all,2,linear,False,0,177012,11814,0.024681876503324367,0.012641560486744474
dim,same,3,featureless,False,0,47254,11813,0.0256851427257061,0.012547004036605358
dim,same,3,linear,False,0,47254,11813,0.020382158304088464,0.008707573080622269
dim,other,3,featureless,False,0,129759,11813,0.027434824034571648,0.020573820918798447
dim,other,3,linear,False,0,129759,11813,0.06823318498116533,0.016382676375219868
dim,all,3,featureless,False,0,177013,11813,0.02661447413265705,0.018291275948286057
dim,all,3,linear,False,0,177013,11813,0.040617906011340875,0.012603239723585236
dim,same,4,featureless,False,0,47254,11813,0.0254041887819767,0.012525830417871475
dim,same,4,linear,False,0,47254,11813,0.020327257389771203,0.008567417672611932
dim,other,4,featureless,False,0,129759,11813,0.027203338220715523,0.020676827058196068
dim,other,4,linear,False,0,129759,11813,0.06462861398781844,0.01646466978728356
dim,all,4,featureless,False,0,177013,11813,0.026368727907538414,0.018469901755452156
dim,all,4,linear,False,0,177013,11813,0.029909918561944353,0.012634213233589708
dim,same,5,featureless,False,0,47254,11813,0.025048844516277313,0.012362908571958542
dim,same,5,linear,False,0,47254,11813,0.020005992933959917,0.008569345059613813
dim,other,5,featureless,False,0,129759,11813,0.02698982134461403,0.020455531775951385
dim,other,5,linear,False,0,129759,11813,0.07050551740549382,0.01651526632427211
dim,all,5,featureless,False,0,177013,11813,0.026121875271201134,0.01822608895599842
dim,all,5,linear,False,0,177013,11813,0.02585566565561037,0.012760150813654447
drp,same,1,featureless,False,0,12968,3242,0.0034897029399871826,0.0020893358159810305
drp,same,1,linear,False,0,12968,3242,0.0033346286302157004,0.0017664710059976823
drp,other,1,featureless,False,0,172616,3242,0.03025452420115471,0.030971579253673553
drp,other,1,linear,False,0,172616,3242,0.09993016988804962,0.02825000118498358
drp,all,1,featureless,False,0,185584,3242,0.028175607323646545,0.028877660632133484
drp,all,1,linear,False,0,185584,3242,0.028288880747675844,0.023681216192876692
drp,same,2,featureless,False,0,12968,3242,0.003514528041705489,0.002144660335034132
drp,same,2,linear,False,0,12968,3242,0.0033385416066447813,0.0017542658153178576
drp,other,2,featureless,False,0,172616,3242,0.03025251440703869,0.03101751208305359
drp,other,2,linear,False,0,172616,3242,0.07356072331598952,0.02815813089476568
drp,all,2,featureless,False,0,185584,3242,0.02817372977733612,0.028923507779836655
drp,all,2,linear,False,0,185584,3242,0.028416079383145998,0.023782900259017414
drp,same,3,featureless,False,0,12968,3242,0.0035333442501723766,0.002053501084446907
drp,same,3,linear,False,0,12968,3242,0.0033436116340979957,0.0017555448690111902
drp,other,3,featureless,False,0,172616,3242,0.03006700612604618,0.030853355303406715
drp,other,3,linear,False,0,172616,3242,0.08716669902164803,0.028115205542800892
drp,all,3,featureless,False,0,185584,3242,0.027985291555523872,0.028756054118275642
drp,all,3,linear,False,0,185584,3242,0.034897394587370734,0.02356426732043243
drp,same,4,featureless,False,0,12968,3242,0.0035372928250581026,0.0020845721010118723
drp,same,4,linear,False,0,12968,3242,0.0033436668874917965,0.0017051477577620536
drp,other,4,featureless,False,0,172616,3242,0.030187373980879784,0.03099069744348526
drp,other,4,linear,False,0,172616,3242,0.10003048058004564,0.02812008559109294
drp,all,4,featureless,False,0,185584,3242,0.02810768410563469,0.028895501047372818
drp,all,4,linear,False,0,185584,3242,0.04063693062135196,0.023611759751829497
drp,same,5,featureless,False,0,12968,3242,0.0035742721520364285,0.0021528706420212984
drp,same,5,linear,False,0,12968,3242,0.0033872143308557906,0.0017536765340107605
drp,other,5,featureless,False,0,172616,3242,0.030189627781510353,0.030989378690719604
drp,other,5,linear,False,0,172616,3242,0.09334117622231171,0.028300995996461964
drp,all,5,featureless,False,0,185584,3242,0.02811022475361824,0.028894145041704178
drp,all,5,linear,False,0,185584,3242,0.02845514297569751,0.023750218263493245
eag,same,1,featureless,False,0,8608,2153,0.02459288388490677,0.011715645901858807
eag,same,1,linear,False,0,8608,2153,0.01992469395801393,0.008856169359800124
