subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae
1,same,1,featureless,False,0,40336,10084,0.03011661395430565,0.01701434887945652
1,same,1,linear,False,0,40336,10084,0.028336283701103502,0.013709519065895282
1,other,1,featureless,False,0,138406,10084,0.030367569997906685,0.019618144258856773
1,other,1,linear,False,0,138406,10084,0.029502645497881688,0.015440850882279616
1,all,1,featureless,False,0,178742,10084,0.03026919811964035,0.018980661407113075
1,all,1,linear,False,0,178742,10084,0.027962674924717986,0.014948625854700137
1,same,2,featureless,False,0,40336,10084,0.030135957524180412,0.01679716259241104
1,same,2,linear,False,0,40336,10084,0.02821274157793307,0.013570449379842987
1,other,2,featureless,False,0,138406,10084,0.030363406985998154,0.01941961795091629
1,other,2,linear,False,0,138406,10084,0.03558631857653681,0.015526690128396942
1,all,2,featureless,False,0,178742,10084,0.030269287526607513,0.018809529021382332
1,all,2,linear,False,0,178742,10084,0.03401364035575431,0.015094939219481638
1,same,3,featureless,False,0,40336,10084,0.02984578348696232,0.017016777768731117
1,same,3,linear,False,0,40336,10084,0.027635976889794505,0.013582452309846107
1,other,3,featureless,False,0,138406,10084,0.030160456895828247,0.019607659429311752
1,other,3,linear,False,0,138406,10084,0.030206549785453805,0.015383100423151275
1,all,3,featureless,False,0,178742,10084,0.030050264671444893,0.019041895866394043
1,all,3,linear,False,0,178742,10084,0.027704839101063593,0.014924711022809567
1,same,4,featureless,False,0,40336,10084,0.030366599559783936,0.017000222578644753
1,same,4,linear,False,0,40336,10084,0.028574150986659552,0.013565789385098585
1,other,4,featureless,False,0,138406,10084,0.03062506578862667,0.019723275676369667
1,other,4,linear,False,0,138406,10084,0.032913575362828414,0.015424611254159809
1,all,4,featureless,False,0,178742,10084,0.030525779351592064,0.01907486282289028
1,all,4,linear,False,0,178742,10084,0.040744702257816616,0.015015024269506738
1,same,5,featureless,False,0,40336,10084,0.03134550526738167,0.01679486222565174
1,same,5,linear,False,0,40336,10084,0.02892344014463664,0.013777064072563938
1,other,5,featureless,False,0,138406,10084,0.031493015587329865,0.01957540027797222
1,other,5,linear,False,0,138406,10084,0.03113093277151194,0.015794781317570117
1,all,5,featureless,False,0,178742,10084,0.031415387988090515,0.018907424062490463
1,all,5,linear,False,0,178742,10084,0.048327072121558616,0.01540252074295223
2,same,1,featureless,False,0,41291,10323,0.03539247065782547,0.01869748719036579
2,same,1,linear,False,0,41291,10323,0.033281860006614664,0.01512391041354686
2,other,1,featureless,False,0,137212,10323,0.03540050610899925,0.0192832350730896
2,other,1,linear,False,0,137212,10323,0.0339521089063565,0.015441962071599785
2,all,1,featureless,False,0,178503,10323,0.035396769642829895,0.01913660392165184
2,all,1,linear,False,0,178503,10323,0.041916778799603045,0.015351417822327407
2,same,2,featureless,False,0,41291,10323,0.034700050950050354,0.018352389335632324
2,same,2,linear,False,0,41291,10323,0.04080310534817389,0.014981011513218505
2,other,2,featureless,False,0,137212,10323,0.03471449762582779,0.018877767026424408
2,other,2,linear,False,0,137212,10323,0.033710459083068064,0.015261051302333684
2,all,2,featureless,False,0,178503,10323,0.03470952436327934,0.0187463890761137
2,all,2,linear,False,0,178503,10323,0.0618666973686262,0.015215982368422809
2,same,3,featureless,False,0,41291,10323,0.035793401300907135,0.018341995775699615
2,same,3,linear,False,0,41291,10323,0.03476584265324204,0.015091175515765505
2,other,3,featureless,False,0,137212,10323,0.03580125793814659,0.01893644779920578
2,other,3,linear,False,0,137212,10323,0.03377570652356345,0.015543219110592837
2,all,3,featureless,False,0,178503,10323,0.03579758107662201,0.018822066485881805
2,all,3,linear,False,0,178503,10323,0.033591855962865326,0.015369951799507398
2,same,4,featureless,False,0,41291,10323,0.03498024493455887,0.018633142113685608
2,same,4,linear,False,0,41291,10323,0.033313675339108166,0.01508843679143454
2,other,4,featureless,False,0,137212,10323,0.03499924764037132,0.019150812178850174
2,other,4,linear,False,0,137212,10323,0.03529647840973861,0.015238077788915588
2,all,4,featureless,False,0,178503,10323,0.03499346971511841,0.01906106248497963
2,all,4,linear,False,0,178503,10323,0.033089634568287105,0.015159927002367624
2,same,5,featureless,False,0,41292,10322,0.035679806023836136,0.01842285878956318
2,same,5,linear,False,0,41292,10322,0.03400387059709784,0.015058901353109274
2,other,5,featureless,False,0,137212,10322,0.03567790240049362,0.019064348191022873
2,other,5,linear,False,0,137212,10322,0.03437144275654318,0.015525052777690215
2,all,5,featureless,False,0,178504,10322,0.03567607328295708,0.01894998922944069
2,all,5,linear,False,0,178504,10322,0.03407156813226682,0.01543642321256522
3,same,1,featureless,False,0,38796,9700,0.03030000999569893,0.017991017550230026
3,same,1,linear,False,0,38796,9700,0.03843900959534491,0.014802989247892945
3,other,1,featureless,False,0,140330,9700,0.030379025265574455,0.019198840484023094
3,other,1,linear,False,0,140330,9700,0.028968381986963,0.015584303513112213
3,all,1,featureless,False,0,179126,9700,0.03035319223999977,0.018897540867328644
3,all,1,linear,False,0,179126,9700,0.032943317461083005,0.015484180928370117
3,same,2,featureless,False,0,38797,9699,0.03200121596455574,0.017967239022254944
3,same,2,linear,False,0,38797,9699,0.02979238152922573,0.01466402509058752
3,other,2,featureless,False,0,140330,9699,0.03203725814819336,0.01933828741312027
3,other,2,linear,False,0,140330,9699,0.030502152975377124,0.01549214600677884
3,all,2,featureless,False,0,179127,9699,0.032019514590501785,0.019066639244556427
3,all,2,linear,False,0,179127,9699,0.0311518359841398,0.015324093876631029
3,same,3,featureless,False,0,38797,9699,0.030580395832657814,0.01779332011938095
3,same,3,linear,False,0,38797,9699,0.028531479669183506,0.014460591159929662
3,other,3,featureless,False,0,140330,9699,0.030647996813058853,0.019056007266044617
3,other,3,linear,False,0,140330,9699,0.02917914143648621,0.015337119280106337
3,all,3,featureless,False,0,179127,9699,0.030624231323599815,0.018812045454978943
3,all,3,linear,False,0,179127,9699,0.032198370748588535,0.015148174757780186
3,same,4,featureless,False,0,38797,9699,0.03213160112500191,0.01808355748653412
3,same,4,linear,False,0,38797,9699,0.029582225790644852,0.014564408531759526
3,other,4,featureless,False,0,140330,9699,0.03217095509171486,0.019422637298703194
3,other,4,linear,False,0,140330,9699,0.030053884387532804,0.015404630789395357
3,all,4,featureless,False,0,179127,9699,0.032152678817510605,0.01915401965379715
3,all,4,linear,False,0,179127,9699,0.031486666111330434,0.015219106849858569
3,same,5,featureless,False,0,38797,9699,0.031432196497917175,0.018008023500442505
3,same,5,linear,False,0,38797,9699,0.02992019778069821,0.01421125890561209
3,other,5,featureless,False,0,140330,9699,0.03148605674505234,0.019381891936063766
3,other,5,linear,False,0,140330,9699,0.029487473216896144,0.01540548133693348
3,all,5,featureless,False,0,179127,9699,0.031464990228414536,0.019062329083681107
3,all,5,linear,False,0,179127,9699,0.03651495924819436,0.015079563517586436
4,same,1,featureless,False,0,18142,4536,0.03836702182888985,0.024233531206846237
4,same,1,linear,False,0,18142,4536,0.03662961117993037,0.020797355973160257
4,other,1,featureless,False,0,166148,4536,0.0390942357480526,0.021161844953894615
4,other,1,linear,False,0,166148,4536,0.03744735463233559,0.01856023269461486
4,all,1,featureless,False,0,184290,4536,0.03897145390510559,0.02136356383562088
4,all,1,linear,False,0,184290,4536,0.037040494846895373,0.018872284375439724
4,same,2,featureless,False,0,18142,4536,0.036908265203237534,0.024817729368805885
4,same,2,linear,False,0,18142,4536,0.035445888270796214,0.021128859243319125
4,other,2,featureless,False,0,166148,4536,0.03738904744386673,0.02138003706932068
4,other,2,linear,False,0,166148,4536,0.03572539458952793,0.018469381605595
4,all,2,featureless,False,0,184290,4536,0.03728175535798073,0.021659433841705322
4,all,2,linear,False,0,184290,4536,0.035489181289222925,0.018728308500183144
4,same,3,featureless,False,0,18142,4536,0.038292329758405685,0.024953791871666908
4,same,3,linear,False,0,18142,4536,0.03605190454432928,0.021081023195234107
4,other,3,featureless,False,0,166148,4536,0.03895753249526024,0.02134198695421219
4,other,3,linear,False,0,166148,4536,0.03708011262309213,0.018526099573895644
4,all,3,featureless,False,0,184290,4536,0.03883914276957512,0.021704452112317085
4,all,3,linear,False,0,184290,4536,0.18377609178941479,0.018914726525600445
4,same,4,featureless,False,0,18143,4535,0.03691449388861656,0.024588141590356827
4,same,4,linear,False,0,18143,4535,0.03578867782088222,0.021471317334315974
4,other,4,featureless,False,0,166148,4535,0.03751551732420921,0.021563228219747543
4,other,4,linear,False,0,166148,4535,0.03593942924665757,0.018872310526603993
4,all,4,featureless,False,0,184291,4535,0.03739933669567108,0.021848071366548538
