subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
glacier_forefield,same,1,featureless,False,0,1460,365,0.0055290493,0.004155066,0.0596747398376464
GL,same,1,featureless,False,0,11188,2798,0.024053475,0.010710847,0.440911054611206
litchfield_island,same,1,featureless,False,0,1776,445,0.005713979,0.0041683726,0.0715425014495849
MC,same,1,featureless,False,0,27241,6811,0.04251798,0.026462823,1.0636675357818604
PJ,same,1,featureless,False,0,11099,2775,0.026227431,0.011165048,0.4331262111663818
PP,same,1,featureless,False,0,11656,2914,0.028126352,0.018352801,0.457714319229126
AN,same,1,featureless,False,0,14923,3731,0.019392777,0.01072378,0.5871036052703857
AK,same,1,featureless,False,0,9448,2363,0.029777901,0.018212058,0.3821735382080078
SPRUCE,same,1,featureless,False,0,5322,1331,0.05982345,0.0406069,0.2117164134979248
Rhizo,same,1,featureless,False,0,3075,769,0.0037059553,0.0022258917,0.1237847805023193
PR,same,1,featureless,False,0,10926,2732,0.035263155,0.019337822,0.428079605102539
Rhizo.Detritus,same,1,featureless,False,0,7119,1780,0.0035263442,0.0020251363,0.2888672351837158
Control,same,1,featureless,False,0,2915,729,0.025730468,0.011630609,0.1158404350280761
NoLitter,same,1,featureless,False,0,2830,708,0.022813968,0.010810478,0.1134543418884277
Angelo,same,1,featureless,False,0,568,143,0.023731478,0.018398084,0.0233616828918457
BS,same,1,featureless,False,0,12284,3072,0.02215337,0.013224216,0.4805586338043213
Detritus,same,1,featureless,False,0,2773,694,0.0031661657,0.0020823695,0.1953573226928711
GR,same,1,featureless,False,0,10060,2516,0.025718449,0.016896993,0.3936431407928467
DBLitter,same,1,featureless,False,0,2863,716,0.023473142,0.012121646,0.1142108440399169
Sedgwick,same,1,featureless,False,0,719,180,0.01712925,0.01224511,0.0305733680725097
Hopland,same,1,featureless,False,0,807,202,0.022621855,0.016798925,0.075963020324707
glacier_forefield,same,1,linear,False,0,1460,365,0.005004618,0.00320275,7.922091722488403
litchfield_island,same,1,linear,False,0,1776,445,0.0049749743,0.0033265778,11.701398134231567
GL,same,1,linear,False,0,11188,2798,0.01849312,0.0074869357,1327.1670682430267
MC,same,1,linear,False,0,27241,6811,0.038661107,0.020931575,5037.099961519241
PJ,same,1,linear,False,0,11099,2775,0.019202936,0.0070721693,2681.741283178329
PP,same,1,linear,False,0,11656,2914,0.023699047,0.012415083,2821.806228160858
