subset,category,test_fold,model,mse,mae
product,all,1,featureless,1.4541411911919468,0.933693446941168
product,all,1,linear,1.7350972623507257,0.9773148168034962
product,all,1,gam,0.5885391782765819,0.566873350220048
product,same,1,featureless,1.4538827000571917,0.9334858723321489
product,same,1,linear,1.3993605838412468,0.9223746446351668
product,same,1,gam,0.019306179838042375,0.11199317530549861
product,other,1,featureless,1.4543511496912997,0.9338595066283831
product,other,1,linear,2.2094043859008807,1.0720426003667205
product,other,1,gam,2.1828533170785325,1.0650737634441128
product,all,2,featureless,1.4375180992096666,0.8950937213869118
product,all,2,linear,1.6246617416275706,0.9439854056290996
product,all,2,gam,0.5457455152435818,0.546915375431745
product,same,2,featureless,1.437233871008293,0.8954968910172506
product,same,2,linear,1.4538580367978726,0.8913025042420339
product,same,2,gam,0.019550329188016236,0.11154203303915368
product,other,2,featureless,1.4378917729465093,0.8947711856826405
product,other,2,linear,1.9884754708023014,1.024840531846313
product,other,2,gam,1.9666721565083836,1.0192948077042001
product,all,3,featureless,2.0593270153418772,1.1372094127392653
product,all,3,linear,2.225551879199564,1.176979619330264
product,all,3,gam,0.8095370409888222,0.7082324526065377
product,same,3,featureless,2.0635354213796475,1.1384266471232467
product,same,3,linear,2.073561856149952,1.1356358640866044
product,same,3,gam,0.024795550305094064,0.12632264694135278
product,other,3,featureless,2.056699814671626,1.136484234246006
product,other,3,linear,2.6402073679414197,1.2567041658870688
product,other,3,gam,2.607953692115201,1.2486981412788971
product,all,4,featureless,1.1870155709543264,0.7782728749091896
product,all,4,linear,1.2080780328643033,0.7678499896416707
product,all,4,gam,0.38465182696473293,0.43639416457595476
product,same,4,featureless,1.1889984170152126,0.7810572282098756
product,same,4,linear,1.2711985019344672,0.8158187325379709
product,same,4,gam,0.028113301542525466,0.13319830511278158
product,other,4,featureless,1.1859042172282144,0.7765294564325705
product,other,4,linear,1.4113018994123459,0.8294316180451726
product,other,4,gam,1.3921140370270744,0.824181348128616
product,all,5,featureless,1.9726221093864185,1.063989768199126
product,all,5,linear,2.0975782449462717,1.097568041729201
product,all,5,gam,0.7280824292997546,0.652323429334658
product,same,5,featureless,1.9721720938748766,1.0637461507276644
product,same,5,linear,1.9587966227508984,1.0535022841486263
product,same,5,gam,0.02557821775178696,0.12870369723013214
product,other,5,featureless,1.9729954754269414,1.0641846621762954
product,other,5,linear,2.450879703287184,1.1826241988738602
product,other,5,gam,2.424226709566409,1.1761560151504356
sum,all,1,featureless,0.42155105905017515,0.5335495429089395
sum,all,1,linear,0.22076945567093983,0.3889180225734107
sum,all,1,gam,0.9552364246974436,0.7045461252309544
sum,same,1,featureless,0.42562741398444937,0.5354783979732676
sum,same,1,linear,0.024838382439473703,0.12606979376383756
sum,same,1,gam,0.025056332133517354,0.1271760985392702
sum,other,1,featureless,0.4190143771756588,0.5321931955089666
sum,other,1,linear,0.6160352359091796,0.6422440044015638
sum,other,1,gam,2.4679773707988515,1.133083899938846
sum,all,2,featureless,0.3021884522024279,0.4402971458210066
sum,all,2,linear,0.14633319572449183,0.3042324191007405
sum,all,2,gam,0.6255726563408863,0.5858929844655816
sum,same,2,featureless,0.310699046304023,0.4493934607742524
sum,same,2,linear,0.025592604121692935,0.1282336511148627
sum,same,2,gam,0.025938563363079772,0.12862489434650531
sum,other,2,featureless,0.2965910637986405,0.43451401857814853
sum,other,2,linear,0.4440922707237963,0.5377985877412825
sum,other,2,gam,1.8192954409048,0.9958347920548182
sum,all,3,featureless,0.36241234060526284,0.49790732264613213
sum,all,3,linear,0.17714656544330876,0.34656026888751695
sum,all,3,gam,0.5500250162213586,0.5754557527827295
sum,same,3,featureless,0.36261775320632694,0.498116797938373
sum,same,3,linear,0.025917753437783856,0.1340622150228862
sum,same,3,gam,0.025669339886244407,0.13311404250685024
sum,other,3,featureless,0.3622493160420396,0.49773974241233954
sum,other,3,linear,0.5295468512012175,0.6019519328901797
sum,other,3,gam,1.585101214066631,0.9445679660157453
sum,all,4,featureless,0.36983319892203964,0.5073124048942489
sum,all,4,linear,0.18042965997916682,0.3547009126575964
sum,all,4,gam,0.5526870734948617,0.5161877087480579
sum,same,4,featureless,0.36945882040636546,0.5070779670721646
sum,same,4,linear,0.02391032756742281,0.12041260450208398
sum,same,4,gam,0.023471799354124422,0.12010986558047061
sum,other,4,featureless,0.3701406161318882,0.5074999551519163
sum,other,4,linear,0.5530714986142082,0.6227826312470599
sum,other,4,gam,1.6429231456401436,0.9003401424841786
sum,all,5,featureless,0.446814993981879,0.5473138053038326
sum,all,5,linear,0.23454821013875,0.3939057269696346
sum,all,5,gam,0.6176739088557444,0.5983425307457985
sum,same,5,featureless,0.446410220537544,0.5472094908714652
sum,same,5,linear,0.02233991034949171,0.11333053337422959
sum,same,5,gam,0.02248558994141282,0.11430005005014078
sum,other,5,featureless,0.44714860608806745,0.5473972568497265
sum,other,5,linear,0.6567864517151364,0.6654750384078649
sum,other,5,gam,1.691780661654195,0.980082224297442
